,content
390,제가봐을땐  재미있어요. 음..설명하긴긴대여...암튼볼만했어요
391,재미도 없고
392,잼없다 나원래 이렇게 별짜게 주는사람아닌데
393,이거뭐 결론은 돈이웬수ㅋㅋ 거기에 가족애추가
394,써클이 더 무서워
395,그냥킬링타임용 억지영화
396,첨에 20명 우르르  달려나가면 안되냐? 엔딩에 라면컷은 정말 난감하더라;;;;;
397,이거영화관에서봣는데ㅋㅋ돈아까울정도는아니던데 ~ 나름재밌게봤음
398,CGV에서 하길래 보고왔는데 욕나온다...ㅅㅂ 마지막 엔딩에서 박장대소했다...
399,이걸공포라고하는게참..ㅡㅡ; 아니 문제 답들은 뭔데?ㅋㅋ의미도없는문제들
400,등장인물들의 행동의 인과관계가 전혀 맞지않고 어거지로 짜맞춘 에피소드
401,캐 답답하기 그지없는 영화 20명 전부다 교문 밖으로 나가도 끝나겠구만.
402,억지스럽고
403,그냥..웃음만나오더라..연기도그렇고..
404,최고예염~~!!
405,최고 ^^
406,지금까지본 공포영화중에서 제일 스릴넘치고 무서웠던것 같아요~~~!!!
407,조금더 신경썼으면 좋은 영화가 되었을텐데
408,지금까지 본 한국 공포영화중 가장괜찮았던것같다.
409,무섭고 안무섭고를 떠나서 반전이 심오한 의미를 담고 있어서 좋았다
410,재밌던데?
411,정말 재미있게 봤습니다!!
412,음..ㅋ 참신하고 볼만했다 다만아쉬운건 스케일이좀더크고 정교했으면..
413,정말 억지스러운 반전.. 허무한 결말. 무섭지 않은 영화
414,길을 걷다가 따른 곳으로 걷게되어 길을 잃었다.
415,완전 재밌었어요!!!
416,케이블tv에서 봤는데 와 진짜 어이가 없더라 스토리도 말도 안되고 암튼 최악이였음
417,소재도 참신했고 결말도 나쁘지않은데
418,촛능 빼고
