,content
208,개꿀잼인데 1점 많네 스릴러로 적당 했는데
209,와와 별 기대안했는데 간만에 제대로 재미를 준 공포 스릴러 영화. 몰입도도 좋고 설정도 신선한데 그에 따른 영화 속 인물들 모습도 현실적
210,BLUM HOUSE 영화들의 상상력은 세계제일~!!
211,그럭저럭 재밋아용 ㅎㅎ
212,신선하고 엄청 재밌게봤음 굿굿 ^_^ (씨익) Truth or Dare?
213,데스티네이션이랑 비슷하네요ㅋㅋ간만에 잼는 영화보네요집중하면서 봤어요
214,재밌네요 ㄷㄷ.. 근데 진짜;; 뭔가 흠;;; 엔딩이 충격적이라 이거원.... 진짜 후속편 나오면 스케일이 ㅋㅋㅋ;;;
215,볼만함ㅇㅋ 공포의 자폭
216,소재가 신선해서 마음에 들었습니다.
217,평점으로 거짓말을 한사람은 지금 엄청 아플꺼야
218,외국영화도 이렇게 평점조작이심하네 큰일이다..
219,신경질나네. 이런것도 공포영화라고..
220,소재를 이용한 설정만 그럴싸 하고 짜임새나 당위성은 형편없다. 거기다 공포영화지만 긴장감이나 공포감조성도 약해서 킬링타임용으로도 부족한 작품..
221,행운의 편지 급 결말ㅋㅋㅋㅋ
222,신선한소재엿으나
223,참신 빼면 시체. 평점 알바들이 있단 것을 확실히 알려주는 영화. 속았다...
224,10점인 평점들 대놓고 알바질하네 ㅋ
225,진즉에 하지 ... 트루뜨오어데어
226,극장에서 두번 본 정말 재밌는 영화
227,공포영화지만 인간에 대해서도 생각해보게 되는 영화
228,평점이 괜찮아서 볼까말까 고민했고
229,신선했던 소재의 영화였고 흥미진진했지만 결말은 좀 약했다.. '엥? 이게 끝?'을 생각했지만
230,딱히.. 재밌지도 않고 영화보다가 헛웃음 나왔어요..ㅋㅋㅋ
231,진짜 괜히 봤다. 겟아웃이랑 해비버스데이도 별로였는데 이거 별로였던사람들은 절대로 보지마세요. 뻔한 스토리에 트루스 오어 데어만 외칠뿐
232,감독 트루스 오알 데얼? 당신은 진실을 말할 수 없다 도전을 해라 과제는 노잼을 대유잼으로 바꿀 것
233,정말 하나도 무섭지않고 돈이 아까울 정도이다. 정말 지루한 내용 시시한 결말 0점 주고도 아까울 모자랄 영화
234,0점이 없는게 아쉬울 따름이다.그리고 왜 평점쓰는 사람들은 전부 평론가 한줄평을 따라하는걸까?
235,결말 찝찝하고 루카스 OOO
236,해피데스데이 참 재밌게 봐서 기대했는데 와 이 감독은 사람 계속 고통 주는 걸 좋아하는 거 같다. 물론
237,소재가 신박하다 보는내내 계속 긴장하면서 봤음 킬링타임용으로 제격
238,너무쓰레기영화아니야?
239,기대하고 봤는데 노잼ㅠ
240,10점은 다 알바니까 속지마세요...ㅋㅋ 돈아까워서 후기씀 나같은사람있을까보ㅏㅏ 무서움1도없고 지루함
241,진짜 무서웠고 재미있었다.소름 돋는다.
242,결말지적많았는데 일단 봤음 잔인한걸 못보는 나는 칼로 푸슉하는게 좀 그랬지만 재밌었음
243,흠 볼륨하우스  약간 실망했어 ㅋ
244,왠만해선 후기 잘 안남기는데 너무 재미있게 봤어요
245,트루스 오어 데어 제작진은 저번 영화(해피데쓰데이)에서 우리가 하루가 반복되는 이유를 설명하지 않아도 좋아했다고 모든걸 설명안해도 된다고 이해한듯영화끝나자마자 모든사람들이 응? 이게끝? 하면서 웅성웅성.. 참신하지도...
246,큰 주목을 못받는 영화 치고는 정말 잘 만들었음. 기본 골자는 파이널데스티네이션 시리즈와 비슷한데 개인적으로는 더 재밌었음. 공포분위기도 좋고
247,긴장감은 있지만 별로 추천하고싶지 않은 영화.. 보는 내내 답답함
248,그럭저럭 볼만했음 ㅋㅇㅇ
249,"게임보다 악령보다 겉과 속이 다른 ""자신의 마음""이 가장 무섭다"
250,난 재밋게 봤는데... 다만 결말이 좀 아쉬울뿐ㅜㅜ
251,집에서 잠이나 한숨자고 맛있는 음식을 시켜먹도록 하자. 무섭지도 재밌지도 않음.
252,25세 남자 4명이 보고 왔는데
253,1점도 아깝다 핵노잼..
254,영화 좀 본사람이라면 비밀부터 결말까지 다 뻔함
255,이 시기에 개봉해서 뭐있을줄알았어..
256,공포영화보고  전기세가  줄었읍니다잠을  너무  잘자서  불 을  켤 필요가 없어 이 미친영화이걸  볼바에야  리얼을  보겠다
257,공포 스릴러 호러 서스펜스마니아로써 별로입니다
258,낮에 봤으니 다행이지 저녁에 봤음 ㅈ될뻔
259,음 기대를 너무 많이 했다
260,무서운영화는 아님. 볼만한 영화
261,여러분도 같이 게임해요!!!일단 보고오세요!저는 도전을 선택했거든요
262,블룸하우스 영화들은 대체적으로 다 잼나넹유?
263,도덕적인 사람도 극한 상황에서는 이기적으로 변한다
264,호불호가 많이 갈리는 영화. 펀한 스토리. 놀라는건 하나밖에 안나옴. 좀 멍청한 루카스. 그냥 웃는 모습도 무섭다는 걸 알리켜 주는 영화
265,결말 진짜 대박..결말 마음에 드는데?
266,그냥 벌난해요 약간지루
267,즐거워야할 봄방학이 최악의 순간이 되다니.. 그러니까 아무나 따라가지 말라고 ㅠ
268,설마 설마 하던 결말이.. 뒷이야기 궁금하다
269,똑똑한 공포영화. 억지로 무섭게 하지 않으면서도 은근 사람 쫄리게 하는 느낌이다..
270,여자친구가 정신을 못차려요 보는 내내 무서워서 스트레스 받았대요
271,ㄱㅣ대이상의 긴장감과 재미 :)
272,이 영화 보고 웃는 사람들 보면 무섭다고 느낄거ㅋ
273,얼탱없음 악마는 룰지키지도않음 룰브레이커ㅡㅡ
274,초반 한시간은 재밌게봤음. 이후부터 미친 캐붕과 설정붕괴 촬영중에 감독 바꼈음?;
275,마지막 결말 행운의 편지ㅋ
276,보지 말라는데는 이유가 있습니다.
277,일단 소재 자체가 재밌었고
278,무서운건 솔직히 모르겠지만  충분히 재미있는데?
279,재미잇는 공포오 영화아 ㅎㅎ 8점대!!
280,마키는 절친에게 계속 상처만 받는구나
281,신선한 소재가 지루하게 반복되다 의미없이 소멸한다.
282,내용이 신선하고 볼만했음
283,생각보다 재미있습니다. 클레멘타인 수준은 절대아니구요;; ㅋㅋㅋ
284,데스티네이션을 한번 더 보겠다. 긴장감이라곤 당최 찾아볼수가 없네. 스토리도 완전 막장.
285,진짜 마지막 대반전 여주 개똑똑
286,흥미로운 소재의 영화 시작과 끝의 완성도
287,킬링타임용으로 좋습니다 잔인하지 않고 지루하지 않아서 좋아요
288,맛있는녀석들 영상보고 기다렸다가 봤는데 재밌음 ㅎㅎ
289,신선했음ㅋㅋ이런거많이나와라
290,공포영화 못보는 나같은 사람이 보기엔 무난. 일반적인 공포를 기대한다면 굉장히 허탈할듯. 수가 빨리 읽히고
291,이도저도 아닌 영화 긴장감도 없고 무섭지도 않음
292,"여주 바보네... 마지막으로 지가 진실을 선택한 후 악마가 도전을 선택하게 만든 다음 ""우주로 꺼져버려""라고 시키지 ㅅㅂ 나한테까지 저주를 거네 ㅋㅋㅋ"
293,노잼인데노잼인데노잼인데
294,왜 거울에 비친 여자만 이쁜이라 불러줘?
295,영화 자체가 무섭기 보단 내용이 소름끼치는 영화
296,난이영화두번봤지....너무재미있어서 이런 영화를너무좋아해서
297,온몸에 바짝바짝 소름이 끼쳤다.. 무섭고 소재도 신선했는데 평점 너무 짜다..
298,로튼 신선도 16퍼가 납득이 가는 작품..
