,content,,,,,,,,,
32,예고편은 초반부에 불과 합니다 근래 본 공포영화중에는 최고네요,,,,,,,,,
33,영화 보는내내 긴장해서 기빨리는 느낌.. 막판에 기운이 다 빠짐.....,,,,,,,,,
34,진짜 지린다.. 영화다보고나왔는데 아직도 가슴이 콩닥콩닥거림,,,,,,,,,
35,너무 무서워서 후반부엔 짜증까지났음ㅜㅜ가도가도 무서움 계속무서움ㅜㅜ 끝까지 무서움ㅜㅜ,,,,,,,,,
36,공포영화같은건 귀신,,,,,,,,,
37,무서운장면안나온다며....아 03:07이 두렵다,,,,,,,,,
38,장르가 달라서 비교할 수는 없지만 솔직히 관상보다 더 재미있었음. 무서운 장면 하나도 안 나올줄 알았는데 두 세 장면 정도는 나옵니다. 값어치 충분히 한 영화.,,,,,,,,,
39,공포 분위기 조성 능력 하나는 기가막혔지만... 문화적 차이 때문인지 이렇게 악령이 씌이고 엑소시즘을 통해 퇴치하는식의 영화는 봐도 별 감흥이 없다. 그냥 엑소시스트의 아류에 불과한것 같다. 너무 기대하고 보면 다소...,,,,,,,,,
40,노트북이나 핸드폰에서 소리죽여놓고 봐놓고 에이 이게뭐가 무서움? 쓰레기  라는놈들은 이영화본게 아님 극장에서 봐야지! 그리고 소리가 쾅! 이러고 갑툭튀도 많이나오는데 엄마가 호러매니아도아니고 어떻게 잠? 적당히무섭고...,,,,,,,,,
41,무서운거 완전 싫어 하는데 여친이 좋아해서 어쩔수 없이 따라 갑니다ㅠㅠㅋㅋㅋㅋㅋㅋㅋ살아 돌아 올게요,,,,,,,,,
42,이 영화 강심장 가진 사람들이 안 무섭다고 이게 무슨 공포영화냐고 지껄이는데 솔직히 그 사람들도 큰소리 날때 한번이라도 놀랐을 거다,,,,,,,,,
43,스토리는 괜찮은데 무서워서 반은 못본듯...옛날엔 무서운거 잘봣눙데...,,,,,,,,,
44,아 진짜 무서워서 1점 뺀다.. ㅠ,,,,,,,,,
45,아침에 친구들이랑 할꺼없어서 페북에서 하도 본 컨저링을 봤는데정말 무섭네요. 솔직히 무서운장면없이 무서운거 다 구라임 그냥 개무서움,,,,,,,,,
46,★★★★★,,,,,,,,,
47,처음으로 공포영화보면서 처음부터 끝까지 쫄았다,,,,,,,,,
48,중간에 경악을 금치못할 장면이 있는데 계속 생각나네요 ㅋㅋㅋ 임산부는 절대 보지마세요 ㅋㅋㅋ,,,,,,,,,
49,무서운거 안나오는데 무섭다며ㅠㅠㅠㅠ다거짓말이야ㅜㅜㅜㅜ귀신 튀어나오는거는 무서운게아니고뭔디ㅜㅜ,,,,,,,,,
50,이 영화보다 더 공포스럽고 소름끼치는 제임스 완의 연출능력,,,,,,,,,
51,진짜 올만에 무서웠음 깜짝놀라서 소리지르는게 아니라 헙하고 숨을못쉼 ㅋㅋㅋ아개무서워,,,,,,,,,
52,무서운장면없다매 아나기빨리는느낌,,,,,,,,,
53,공포영화 백화점,,,,,,,,,
54,아놔...집이 너무 넓어ㅠㅠ간만에 긴장하고 본 영화...딸들이 다 예뻐ㅋ,,,,,,,,,
55,말이필요없습니다.. ㄷㄷ,,,,,,,,,
56,파라노말액티비티와 엑소시스트를 합친듯한 영화네용~~ ㅋㅋ,,,,,,,,,
57,공포영화보고 직접적으로 무서운건 처음,,,,,,,,,
58,추석때 연인과 볼 유일한 짜릿한 영화. 깔끔한 공포. 호러에 익숙한 사람은 수위가 낮게  느껴질수도. 여자들은 십중팔구 비명지를 것이다. 마땅히볼게  없다면. 이 영화를 선택하길...,,,,,,,,,
59,잔인한 장면이 없는 공포영화....존경한다 제임스완... 인시디어스부터 잔인한장면이 거의 없어요. 소리와 분위기 한컷 한컷의 뭐랄까...정말 기가막히게 연출을 합니다. 잔인한 장면이 없어서 고어한 영화싫어하시는분께는...,,,,,,,,,
60,무서운 장면 없다더니... ㅜㅜ 공포영화 매니아들 사이에 오래오래 회자될만한 훌륭한 영화가 한 편 나온 것 같습니다. 오랜만에 공포영화 보고 만족함.,,,,,,,,,
61,가서보쇼 무서운거보다도  앗  깜짝이야 볼만함 ...저런집에서 살고싶다 ㅋㅋㅋ,,,,,,,,,
62,무서운 장면 많은데 왜 없다그러는지 ㅋㅋ,,,,,,,,,
63,존나무서워서 존나짜증나 존나무서워ㅜㅜㅜㅜㅜㅠㅠㅠㅠㅠㅠ,,,,,,,,,
64,공포영화 보면서 첨으로 소리질러봄.. 괜춘괜춘,,,,,,,,,
65,소재는 진부하다 못해 식상하지만 공포의 강도에서는 고전호러의 대부인 엑소시스트와 견주어도 손색이 없다.지금 늦더위에 지쳐있다면 당장 극장으로 가라 그리고 봐라.염통이 쫄깃쫄깃해 지고 지린다는 의미를 알게 될것이다.,,,,,,,,,
66,이 영화의 진정한 공포가 뭐냐면 말이지... 아버지의 벌이가 좋지도 않은데 딸을 다섯명이나 낳았다는거야... 그러고도 금슬이 좋아...,,,,,,,,,
67,심장약한분들 주의하시길!!,,,,,,,,,
68,영화관에서 4d로 봤습니다.  옆자리 어떤여자가 무서운 장면 나올때마다 소리지르면서 발작을 하더군요. 중반쯤에는 옆자리 여자애가 귀신보다 더 무서웠네요.,,,,,,,,,
69,영화 상영 시작부터 끝까지 내 심장이 뛰고 있다는 것을 새삼 깨닫게 만든 영화! 칭찬의 상징이던 박수가 두려움과 공포의 표적이 되었던 영화! 나도 모르게 내 방 옷장속을 정리하게 만들었던 컨저링. . . 올해 최고의...,,,,,,,,,
70,10년 간 본 공포영화 중 제일 무섭다.,,,,,,,,,
71,영화 갠찬았음!!,,,,,,,,,
72,.........................................하....................흑.............................흡..............................,,,,,,,,,
73,이게공포지ㅋㅋㅋㅋ,,,,,,,,,
74,쩌네.ㄷㄷㄷㄷㄷ,,,,,,,,,
75,중반부에 살짝 늘어지는 모습을 보이기도 하지만 충분히 재밌는 공포영화,,,,,,,,,
76,제가 올해 봤던 공포영화중에 최고입니다.대박!!영화보다가 저혼자 육성으로 비명도 지른;;;;,,,,,,,,,
77,무서운장면이뭐가안나와 낚였음 완전 긴장안하고보고잇엇는데 그리고 엑소시즘 영화엿다니ㅠㅠㅠㅜㅜ,,,,,,,,,
78,마지막 연휴일 무서운줄 생각..^^,,,,,,,,,
79,대낮에 컴퓨터로 봐도 지리는데 영화관에서 봤으면 진짜 똥까지 쌌을 듯,,,,,,,,,
80,이거보면서 하도 무서워서 귀신의 입장이 될려고했다.. 그러면 안무서울까 싶어서 ㅋㅋ,,,,,,,,,
81,짱ㅇ.야,,,,,,,,,
82,말이안나올정도로무서운영화,,,,,,,,,
83,홍보를 뭐 이따구로 하냐 무서운 장면 없이 무섭다길래 안심하고 보다가 옷장씬에서 놀래서 자몽주스 뿜었다 '무서운 장면 없이도 무섭지만 무서운장면 있음'이라고 홍보해야지 본지 2주됐는데 아직도 장롱보려면...,,,,,,,,,
84,혼자 보러갓는데 진짜 그냥 무서운 영화..영화관에서 어떤남자가 소리질렀던건 안비밀ㅋㅋㅋㅋㅋㅋㅋ,,,,,,,,,
85,난 용감한 남자라서 그런지 한개도 안무섭떤뎅. 오늘 불켜놓구자야지.,,,,,,,,,
86,무작정 귀신으로 놀래키고 잔인하게만 하는 공포영화보다 훨씬 무서웠고,,,,,,,,,
87,엑소시스트랑 좀 비슷하지만 재미있고 밤에 봐도 그렇게 무섭진 않았는데  귀신들린연기도 잘하고 깜짝 깜짝 놀라게 하는게 더 무섭게 느껴짐ㅋㅋ 옛날에 한 엑소시스트보다 이게 더 재밌네요.,,,,,,,,,
88,무서운장면 안온다면서 자꾸  뭐가 느껴져..,,,,,,,,,
89,진짜 개지렸다,,,,,,,,,
90,심야로 봤는데 나름 볼만함,,,,,,,,,
91,이 영화는 쉬는 시간을 안줘,,,,,,,,,
92,십자가 들고 영화봐라 내일부터 교회다닌다,,,,,,,,,
93,혼자 보면 도중에 뛰쳐나감...내용은 공포영화에서 흔히 만날 수 있는 주제이나정말 잘 만들었음. 심장 여러번 떨어짐...ㅠㅠ,,,,,,,,,
94,영화 너무 지루함. 그다지 무섭지도 않았고...,,,,,,,,,
95,애나벨 보고왔는데 컨저링이 갑이었다라는걸 다시 느낌,,,,,,,,,
96,컨저링 별로 안무섭다고 하는 사람 더 무서운 영화 추천좀 해주라 나 공포영화 정말 좋아하는데 최근 몇년사이에 본것중엔 가장 재미 있던데 안무섭다고 하는 사람들 진짜 무서운 영화 추천좀 부탁해,,,,,,,,,
97,장면 하나하나를 따져보면은 크게 무섭지 않은 영화.다만 그 장면 하나하나에 어울리고 공포감을 조성할 수 있는 사운드.여태까지 많은 공포영화들을 봐왔지만 이만큼 사운드가 잘 어울리는 영화는 보기 드물정도네요.다만 혼자...,,,,,,,,,
98,기대이하라고 하시는 분들.. 도대체 당신들의 기대를 충족시켜준 공포영화는 무엇이었나요?,,,,,,,,,
99,훨낫네..파라노말 액티비티시리즈와 거의 흡사하지만 시대적 배경과 퇴마사가 등장한다는것이 포인트네..,,,,,,,,,
100,교회에서 만든 영화인줄,,,,,,,,,
101,별로 기대감 없이 보다가 재미있게 보고 왔습니다 ㅋㅋ 긴장감이 넘치더라구요 ㅋㅋㅋ,,,,,,,,,
102,무서운장면이 안나온댔는데 나옴 아,,,,,,,,,
103,소리만 들어도 무서웠음..ㅠ.ㅠ...,,,,,,,,,
104,간만에 공포영화다운 공포영화를 봤다.,,,,,,,,,
105,정말재밌네요,,,,,,,,,
106,처음에는 조금 질질 끄는구나 했는데 뒷부분 훼이크여서 지금 집오자마자 평점 쓰는 영화 중 아직도 몸이 움추러들어서...하 대박 ...무서웠음...엄마랑 손잡고 자야겠어요,,,,,,,,,
107,그냥 굿,,,,,,,,,
108,미국공포가 호러나 고어에 치중해있는것에비해 깔끔하게 심리적인 공포를 줌 대신 끝으로갈수록 엑소시스트,,,,,,,,,
109,영화자체는 별로안무서운데 아 귀신년 면상 꿈에나올까봐 무섭다 ㅋㅋㅋ,,,,,,,,,
110,진짜 잔인한 장면 없이 무섭다 ;; ㄷㄷ...진짜 이렇게 심장 터질 뻔 한 영화는 처음인듯.. 내 옆에 애들이 막 울었음... ;;; 또 보러 갈 것 같음 추천이요!!!! 진짜 무서운 영화 보고 싶으신 분들은 이거 ...,,,,,,,,,
111,깜짝깜짝 놀래키는게 공포라고 생각하면 10점주겠지만내용도뻔하고 지루하다.돈아까움.,,,,,,,,,
112,작은소리에도예민해지게되는지입니다 쉴틈없이 긴장감대박입니다,,,,,,,,,
113,나평점알바 아니다 진짜재밌다 방금보고왔다 진짜 꼭봐라대박이다 진지하다 형 공포영화보다가 놀란적없다 이건진짜다 진짜 레알 꼭봐라,,,,,,,,,
114,무서운 장면 대놓고 나오는데 안나온다고 희대의 구라를 깠던 영화 이게 무서운 장면 없으면 링이라던지 주온이라던지 무서운 장면 하나도 안나오겠네? 너무 허위광고적인 희대의 사기영화 ㅋㅋ,,,,,,,,,
115,6점 주고 싶은 영화. 솔직히 엑소시스트랑 그 파라노말 액티비티 짜깁기 한 영화같은데 뭐가 그렇게 새로운 공포영화라는지 전혀 이해가 안된다. 차라리 인시디어스가 좀더 독창적이고 긴장의 끊을 놓지 못하게 만든다.,,,,,,,,,
116,평점이 너무높다 이게 무섭냐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,,,,,,,,
117,그냥 깜짝깜짝 놀라게 하면서 사람 짜증나게 하는것 말고는 뻔한내용에 허탈한 끝마무리... 이런 쓰레기영화가 8점이나 된다는게 가장 큰 공포,,,,,,,,,
118,무서운 장면 없다더니 귀신분장 쩌네요. 파라노말은 진짜 무서운 장면 없이 소름돋았었는데 컨저링은 그냥 귀신 몇번 나와주고 깜짝깜짝 놀래키고 끝나는 영화;;,,,,,,,,,
119,"공포영화 입문자들에게 좋을듯. 이거저거 다 본사람들은 ""이게모야?""하면서 나올 것이 분명함. 하도 짜깁기에 결말도 오글터지는 전형적 헐리우드 스타일. 손뼉씬 하나 건지고 왔다 ㅋ",,,,,,,,,
120,이거보고 잠못자는사람 이해안됨,,,,,,,,,
121,애나벨2 개봉땜에 다시 봤는데 정말 잘 만든 공포영화임 타이밍이 기가 막힘 안무섭다는 사람은 불 다끄고 소리 크게하고 혼자보고 나서 안무섭다라 해라,,,,,,,,,
122,공포영화중에 수작 말이 필요없음,,,,,,,,,
