,content,,,,,,,,
175,1개도 아깝다. 반개는..생각좀 해보고...,,,,,,,,
176,평점...이 이케 높은 이유가.....? 완존 대 실망....ㅜ.ㅜ,,,,,,,,
177,무슨 내용인지 잘 모르겠넴..;;,,,,,,,,
178,엑소시즘 소재로 독특하기도 하고 재미도 있고 반전도 있음,,,,,,,,
179,평점 정말 개사기...완전 지루;;,,,,,,,,
180,평점이 정말 개뻥이네 별 반개도 아깝,,,,,,,,
181,진심 재미없음,,,,,,,,
182,우윀,,,,,,,,
183,10점준늠들 참 ㅋㅋㅋ 막장의 끝을 보여주네요~,,,,,,,,
184,충격적인진실..정말손에땀을쥐고봤네요,,,,,,,,
185,영점주고 싶은대 영점이 없네 어떻게 박스오피스 1위를 했는지 알수가 없네,,,,,,,,
186,아 내친구 말대로 테두리도 아깝다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,,,,,,,
187,뭐....별루..ㅋㅋ,,,,,,,,
188,이거보는순간 한손엔 칼이 다른손에 이거추천한동생죽였습 보지마쇼,,,,,,,,
189,씨발 빵점은 없는거냐?,,,,,,,,
190,이젠 페이크다큐도 별로...오히려더무섭게하려하는것같은데그닥.. 그냥킬링타임..,,,,,,,,
191,진짜 답 안나오는 영화다,,,,,,,,
192,10점 평가준 아디 클릭. 딱 이영화 하나 평가 대부분. 그런 평점은 몰아서 나옴,,,,,,,,
193,쓰레기임 레알 보지마셈 OOO기임ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,,,,,,,
194,영구 없~~다 (띠디리디디디~),,,,,,,,
195,야근데 무슨 영화가 40분이냐?,,,,,,,,
196,다 알바냐ㅋㅋㅋㅋㅋ 병맛진짜 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,,,,,,,
197,절라 재미 없음... 10점 주는 사람들.. 다 동태 눈깔임??,,,,,,,,
198,의외로 볼만하네요 특히 마지막 장면은 약간 충격이었음,,,,,,,,
199,공포영화 무서워하는편인데 정말 안무섭고 니맛도 내맛도 아니에요,,,,,,,,
200,공포영화 보통 시시한데 이건 내용이 알차고 긴장감돌고 좋았아요,,,,,,,,
201,진짜 기대안하고 봤는데 진짜 깜놀,,,,,,,,
202,진짜 재미있어요 -ㅁ- 녹아듭니다 ~,,,,,,,,
203,짜임새있는 구성이 진짜 맘에 들었다. 연기력은 당연한거고,,,,,,,,
204,머~ 나름 유쾌하게 잘 소화하셨음 ~ ㅋ -ㅋ,,,,,,,,
205,저는 정말 무섭고 재밌게 봤어요,,,,,,,,
206,진짜 막장중의 막장;,,,,,,,,
207,허리꺽을때 내 심장도 멎을뻔…,,,,,,,,
208,OOO,,,,,,,,
209,영화보다가 졸다가 결말보구 어이없어서 담배만 피웠다...,,,,,,,,
210,내용을 잘떠올려보니 허접한 영화가 아니였어,,,,,,,,
211,짱,,,,,,,,
212,야간에 친구랑 둘이서 봤는데 OO 내인생 최악의 영화였음. 왤케 평점 높냐,,,,,,,,
213,진짜 계속 보면서 흥미진진했어요,,,,,,,,
214,긴박한 상황과 반전이 기가막힌다.,,,,,,,,
215,잠시도 긴장감을 늦출수없다.,,,,,,,,
216,왠간한 잔인한거.. 귀신등등 무섭게 본적없던 내가 주변을 둘러보며 봤던영화,,,,,,,,
217,대박 재밌음 이런건 극장에서 봐야지.,,,,,,,,
218,진짜 기대안하고 봤는데 진짜 깜놀,,,,,,,,
219,공감,,,,,,,,
220,이딴 영화에 알바푸냐 할말이 없네 돈아깝다 그냥 하는 소리 아니니 후회들 마시길,,,,,,,,
221,ㄷㄷㄷ... 말이 안나오는 숨막히는 공포,,,,,,,,
222,끝부분이 정말 좋았다. 첨엔 좀 지루한감이 없지않아 있었지만.,,,,,,,,
223,극장에 혼자가서 보삼. 긴장감 쩔고 마지막에 뒈짐 ㅋ,,,,,,,,
224,분위기 조성을 잘 살린 영화.,,,,,,,,
225,여배우 연기하다 실신했을듯,,,,,,,,
226,알수없는 공포의 리얼.,,,,,,,,
227,결말이 허무한줄알았으나 곱씹어 생각해보니 음...좋은 작품인거같애,,,,,,,,
228,혼자봤는데 장난 아님,,,,,,,,
229,그저그런 영화일거라는 내편견을 깨는 영화,,,,,,,,
230,정말 재밌게 봤다 무섭기도 무섭지만 리얼한 상황전개가 나를 미치게했다…,,,,,,,,
231,이런류의 공포물은 첨이었다. 좋은 스토리가 인상적이었다.,,,,,,,,
232,글쎄...이건 아닌듯...다큐 형식은 좋긴 했지만..,,,,,,,,
233,신부완전 개사기꾼이다 어이가없어서 웃음만 나오더라 ㅋㅋㅋㅋㅋㅋㅋㅋ,,,,,,,,
234,무섭다기보다는 좀짜증난다..,,,,,,,,
235,반전..ㅎㄷㄷㄷ,,,,,,,,
236,짝퉁 신부. 첨에 완전 맘놓게 하다가 완전 관객을 패닉으로 몰아넣는;;;;,,,,,,,,
237,스토리도 좋고 역시 마지막이 깜놀이네염,,,,,,,,
238,귀신이 나오거나 그런건 아니지만 뭔지모를 공포감이 있어 좋았다.,,,,,,,,
239,정말 긴장하면서 봤다. 배우들 연기또한 너무 소름돋을정도,,,,,,,,
240,교회의 일부 이상한 분들이 봤으면 좋겠음.;,,,,,,,,
241,제목대로 마지막이 되리라,,,,,,,,
242,흥미진진하고 늦은밤에봐서 더 재밌었음.,,,,,,,,
243,허리꺾기 대박. 보면 헉소리나와요,,,,,,,,
