,content
85,잔혹동화.... 한국의 장화홍련하고 비슷한 느낌을 주는 거 같아요
86,최고의 뱀파이어 영화. 재개봉이라니 반갑다.
87,이 영화 완전 좋았음. 내스탈
88,...음....에라 모르겠다
89,영화관에서 봤었는데 섬뜩했어요...본지 오래 됬는데 아직도 기억에 남네요
90,원작이 훨씬 낫군 역할 잘 어울림
91,정적인 비쥬얼과 감정의 역동이 완벽하게 조화를 이루는 영화. 아직 반밖에 안봤는데도 급하게 평점을 남길 정도다. 이제 결말 따윈 중요하지 않아.  스웨덴이라는 나라에 꼭  가보고 싶군.
92,너무 인상깊었던 나머지 원작 소설까지 사서 보고 말았다 헐리웃에선 따라올수 없는 오리지널
93,아름답지만 잔혹한 이야기. 그래서 더 흡혈귀 이야기답고
94,와..저친구들 아역둘의 연기가..정말 색다른 뱀파이어 영화..!! 쩐다 이영화 신비롭고 그냥 꼭 한번 보시길..
95,노인이 아빠가 아니었구나;;  댓글보고 알았네 하여간 고정관념을 깬 그런 영화였다
96,오스칼의 콧물을 닦아주고 싶을만큼 몰입력이 좋았다
97,추운 겨울
98,오스칼은 죽은 영감과는 다른선택을 할듯난 살인은 안해 라는 대사에서 왠지 이엘리를역이용할듯 죽은 영감과는 다르게그리고 괜히 병원에서 불태워 지는 아줌마역활도 괜히 나온게 아닌듯
99,순수한 마음의 잔혹한 동화
100,마음이 아프다 먹먹하고.. 엔딩 크레딧이 올라갈 때 음악에 또 눈물이...  그리고 꼭 엔딩 크레딧을 끝까지 봐야 이 영화를 제대로 본거라고 말할 수 있다.
101,어렸을때 봤는데 현재까지 기억에 남는 (어쩌면)유일한 영화
102,렛미인은 진리 좋아좋아
103,렛미인을 흔히들 공포영화로 분류하는데 내겐 전~혀 공포영화가 아니었다. 2010년작이 공포물에 더 가까웠지... 2008년작은 예나 지금이나 가장 아름다운 로맨스물이다.
104,이런 분위기 좋아해서.. 미국판보다 훨 나은 영화
105,렛미인 두가지 버전이 있는데 이게 더 좋음
106,외로움이 외로움에게 ...
107,뱀파이어가 구원이였던 가여운 소년들...
