,content
99,겁내무서워ㅓㅓ 볼만은 했어요..
100,내평점아 ㅠㅠ 존나 무서워 밤에 그냥 빨리 자야겠다 무서우니까
101,넌 보지마 지릴꺼니깐~
102,심야로 남자친구랑 손잡고 봤는데손을 이렇게 꽉 쥐어본적 없는데 쥐날정도로 꽉 잡고 봤네유..
103,씨부래ㅡㅡ이건공포여 좀비물이여ㅡㅡ
104,발락 수녀
105,무교지만 기도하고자야지 ㅎ
106,수녀귀신 나올때 마다 놀램ㅜㅜㅜ
107,0점없음? 1점도 아까운디;
108,넌 리액츠 형이 여기서 왜나와?
109,컨저링 유니버스 몰락의 시작.
110,별로안무서웠어요
111,악령한테 총쏠때 빵터짐ㅋㅋㅋ 그때부터 끝날때까지 영화가 너무 유치해서 웃으면서봄... 입에서 뱀나오고..애들보는 전체관람가 판타지영화같아요ㅋ 왜무섭다는지 이해가 안감^^;;
112,컨저링 시리즈는영화관에서 봐야 제맛...
113,오 컨져링 시리즈답게 재밌게봤어요새벽에보니까 더무섭네여
114,영화를 보는 내내 주인공 3인방의 행위가  전혀 이해가 가지 않고 
115,0점이 없어서 1점 줍니다. 컨저링 시리즈 중 최악!
116,흠..갠적으로 컨저링 관련 영화 다 좋았는데.. 이번 영화는 너무 대놓고 나오네..솔직히 등장은 묵직하게 현상은 초자연적이였음 더욱더 무서웠을텐데 이번건 살짝 실망 컨저링2보다는 못하지만 기본기는 갖췄음
117,보는동안 지루한 장면이 없었다
118,ㅅㅂ무섭긴 확실히 무서움 영화보면서 나도모르게 주기도문외움
119,수녀귀신을 징글징글하게 볼 수 있음자기 전까지 생각날듯 오늘은 잠 다잤네
120,야호진짜무섭닺으앙ㆍ
121,드래그미투헬이후최고
122,아~~~아~~~~아~~~~브금계속맴도네...
123,뭐가 나왔는 지 모르겠다... 눈을 뜰 수가 없었다...
124,돈 스탑 푸레잉 이 대사 맘에 듦
125,마지막 컨저링 본편과의 연결까지 완벽햇다. 컨저링 유니버스 중에 제일 무섭고 잼있엇음
126,인간적으로 영화 보면서 이렇게 몸아프게 할거면 만들지말자 너무 움츠려서 봤다..
127,진짜 속닥속닥급으로 노잼
128,평점을 좀 낮출필요가 있어보입니다. 공포영화에서 너무 뻔하고도 지겹도록 봐왔던 내용. 긴장감을 끌고 가기보다는 갑툭튀에 의존하고
129,무슨 ㅅㅂ 영화보는내내 화면 ㅈㄴ어둡고 무섭긴 ㅅㅂ 짱구 공포편이더무섭다 절대보지마라
