,content
71,지금보니 블룸하우스식영화를 10여년전에 만든거같다 ㄷㄷ 시대가 너무 앞선 공포스릴러코미디였다.. 의외로 기승전결도 깔끔에 비틀기도 적당.. 약간 허술한 cg가 아쉬울뿐 재밌었다.
72,딱 샘레이미 같은 호러임 이블데드의 향수를 느낄수있었음
73,찌르고 터트리고 이런 공포 영화보단 나은듯..근데 비위상했어.
74,여주인공 예뻐서 10점 준닼ㅋ
75,명작... 지루할틈없다.
76,할망구 짜증나네. 종나 더럽네.여자 개불쌍
77,공포물 전혀 못보는 사람인데도 재밌게 봤다. 환한 낮에 보았음 ;;;
78,그로테스크하면서도 레이미 특유의 b급 유머와 재기발랄함이 넘실넘실. 역시 레이미 감독은 블럭버스터 따위보단 소규모 작품에서 훨씬 자유스럽고 레이미다워진다. 너무 좋다.
79,재밌어 ㅋㅋㅋ 감동적인 영화야~ 웃겨 ㅋㅋ
80,할머니 산화머니로 가세요... 헬머니 되시지 마시구...
81,최고임
82,감독 악취미네.여주 너무 불쌍하다.
83,서비스직이 이렇게 힘듭니다...
84,미친 할망구 하나가 이렇게까지 할 수 있다고?이유는 더 웃겨.
85,집시 할머니가 핵발암이라 개빡칠뻔 ㅂㄷ
86,일상적 장면 말고는음소거하고 봤음..시작부터 놀래서..끔찍한 불사조 할머니는 아무리 음소거여도 나타날때마다 심장이 쿵쿵할 정도로 끔찍 그 자체..여주인공이 참 조급함으로 사지로 자신을 모는 것 같아 안됐기도 하고.....
87,재밌긴 했는데 할머니가 입에대고 오바이트한거는 너무 더러워서 충격적이라 아직까지도 생각이 난다... 으으으 ㅅ...
88,할머니도 지옥갔겠지. 설정이 좀 짜증이다. 그래도 오랜만에 몇번 놀랬다.
89,어른이 되고나니 알겠다. 저 가니시라는 할머니는 ㅈㄴ민폐충인것이다. 돈을 빌렸으면 당연히 갚아야지. 은행사탕은 또 왜 훔쳐가. 악마는 뭐하냐
