,content
90,개같은 영화 개같은 영화 열자 채웠다 ㅅㅂ
91,원래 2기는 재미 없는게 대다수라 기대 안하고 봤는데 생각보다 너무 재밌었어요ㅎㅎ 여주 자살하는 장면이 왤케 좋지..초반엔 코믹한데 후반엔 음..감동..?뭔진 모르겠지만 이건 장르가 공포가 아니라 여주 성장물 같음....
92,그냥 1편으로 끝냈어야 하는영화..솔직히 하이틴영화라 하는게 더 괜찮을듯
93,영화보는 동안 완전 지루하고 개노잼임
94,내가 영화관가서 본 영화중에 제일 재미없었다ㄹㅇ
95,1보다는 확실히 재미가 없네요 ㅠㅠ
96,ㄹㅇ장르가 뭐지 역대급최악영화다;; 1은 공포라도 잇엇지 이건뭐공포는절대아님 .. 공상과학+러브+국방영화
97,? 알바 엄청많은가봐요 진짜 이거 제가 2000년대들어서 본 영화중에 젤재미없네요
98,절대 보지마세요..내가 본 영화중에 제일 최악이다 돈아까워요
99,전개가 빠르고 여주 특유의 답답함이 없어 보기좋음
100,여주 너무 멋져요 근데 그와중에 남주 존잘이죠
101,제시카로테 Happy birthday~!!!
102,공포스러우면서도 아주 유쾌함
103,솔찌키 트리언니 극한직업 인정해줘야한다ㅠㅠ  무서웅데 재미써ㅠㅠ 1편도 재미난데 왜 또 2편도 재미써? 짱짱이야♡
104,와 또 생일 반복ㅋㅋ 미쳤다
105,이 영화를 공포장르로 보는 사람들이 많네요  1편도 그렇고 코미디 장르에 가까운 영화입니다. 비교하자면 옛날 무서운영화랑 비슷한 장르에 신선함을 더한
106,공포영화를 못 보는 사람들도 재밌게 볼 수 있는 공포 영화!
107,진짜 완전 웃겨!!! 1보고 2 계속 기대했었는데 캬 역시 또봐야지!
108,재미 없었어여 ㅠㅜㅜ 흐아아아아앙
109,ㅋㅋ...개인적으로 돈 아까웠음
110,유쾌하고 신나는 공포영화? 매력적이다
111,ㅜㅜ이게뭔가요 1이훨씬재밋었음
112,아 진짜 존나 재미없네 아오 개빡쳐
113,이정도면 시리즈 공포 영화중 최고인데?ㅋㅋ
114,이건 무슨???..노잼인데요
115,아니진짜진지하게사람들왜이렇게재미없다고하는지모르겠아무리자기랑안맞았다고해도이영화에0점준다는거는ㅋ친구랑심야봤는데너무재밌고스트레스한방에날아갔다ㅜ1본사람으로써평점아예안보고2보러갔다 진짜1보다훨씬 재밌었고웃기고보고난후에감탄하면...
116,보통 1편보다재밌는 2편은없다지만 전 나름 1편보다 재밌게봤어요 ㅎㅎ
117,여주 성격이 너무 맘에 들었어요ㅋㅋ재밌던데
118,순위 6위인게 말이 안되는 영화 올라가주라 많이 봐주라ㅠㅠ 꿀잼 1편보다 훨 재밌음
119,여주의 시원스러운 성격은 정말 맘에 든다 ㅋㅋ
120,공포없는 공포영화지만 내용 개탄탄 ㅋㅋ믿고보는 블룸하우스
121,1편 안본사람들은 이해 못할듯ㅋㅋ..
122,어머니랑 나누는 대화가 인상이 깊었다. 근데 처음 막 부분에서 애기하는게 잘뭔지이해가안감...너무 과학적
123,1편보다 2탄이 훨 재미났어요 3탄도 나오면 좋겠네요
124,2편은 무서운거보단 웃긴부분이많고 가볍게 잘봤어요
125,와씨 소름 
126,이딴걸 영화라고 쳐만들었냐
127,공포영화가 맞나싶음... 공포보단 로맨스 ㅎ ㄷㄷ
128,ㅋㅋㅋㅋb급병맛감성
129,평점 깎아내리는 알바가 있는거 같아서
130,신선하네요 ㅋㅋㅋ또 보고파요
131,1편에 이어서 또보게되었는데 정말 무섭기도 재밌기도 알찬영화였어요ㅠㅠ 3편나와도 볼거고 4편나와도 볼영화
132,공포랑 재미를 잘 섞었습니다 꿀잼!
133,기대 안하고 봐서 그런지 너무 재밌었네요
134,공포를 웃음으로ㅋㅋㅋ 1편도 보고 싶군
135,색다른 재미 공포보단 재미!!
136,진짜 무서웠는데 웃기고 재밌엉ㅋ
137,쫄보인 나도 재밌게 볼 수 있는 공포영화!!
138,1편보다 훨씬 재밌음  3리도 나올삘
139,남주여주 넘나 훈훈해서 가슴 두근두근거림.. 공포영화 보는데 가슴 두근두근이 말이되냐ㅠ
140,ㅋㅋㅋㅋ무서운거 못보는 언니 데꼬 봤는데 쫄면서도 끝까지 다 보고 나왔음 ㅋㅋㅋ히히 재미따재미따
141,마치 공상과학 영화와 약간의 공포를 섞은느낌 재미도있고 감동도 있어서 재밌음
142,솔직히 말하면 스토리상 억지도 있고 허점도 많이 보이는데 그딴거 아무 상관없을 정도로 보는 내내 너무 즐겁고 오락영화로는 최고. 이런 병맛영화 너무좋다 ㅋㅋ 여주 화내는 연기 왤케 웃기고 매력적임?ㅋㅋ
143,남자 과학하는애 도끼 닮음.
144,재밋구만해피데스데이1 안봣으면 보고보셈
145,지인짜 돈아까움....
146,1 편에 비해 별로였음 
147,완벽하진 않았지만 1편처럼 여전히 유쾌하고 재밌었다. 만족스럽다.
148,발렌타인데이에 남친 대신 베이비 만나고옴 ㅋㅋㅋㅋ
149,알바 진짜 그렇게 살지 말아라개노잼 영화댓글 안다는데 찌거기임.. 절대 보자마셈
150,깜짝깜짝 놀라서..  기대 안하고 봤는데 은근 재밌네요
151,1편재밌게 봤는데 2편도 재밌게보고왔음ㅎㅎ 코미디+공포+로맨스 3박자 다갖춘느낌 가볍게 보기좋아요
152,평점 왜높아.. ? 와 간만에 병맛봤네...
153,전 정말 재밌었는데 남친은 재미없다네요 ㅋㅋ
154,생각보다 재미있네요 전작보다
155,공포영화치고 너무재밋음
156,이걸 다 보는게 극한직업
157,시즌1도 재밌게 봤는데 시즌2도 잘 만들었네요 ㅎㅎㅎ 울 여주 언니 죽는 (?) 재미로 봄
158,공포영화 아닙니다사랑이야기 입니다개봉일 조조로 보았음공포같은분위기 초반에만 슬쩍있음
159,전반적인 스토리는 부족하지만 볼만하다
160,이거 재밌다는 사람들은 ㄹㅇ 어떤사람들인지 궁금하다 급식때 봤어도 쌍욕 나왔을거 같은데 1편은 그나마 참신하기라도 하지
161,1편으로 끝냈어야하는 영화 = )
162,도입부부터 역대급 공포.. 설마 병맛 x레기 같은 내용일까봐 공포스러웠음.. 시간이 갈수록 공포는 극대화되었음.. 내머리와 가슴이 몸안에서 영화관을 박차고 싶을 정도의 공포로 가득했음.. 끝나고 난 뒤 영화관조차 공...
163,진짜 노잼이였는데 평 왜이러는거죠... 초반에 그냥 잤어요 지루하고
