,content,,,,,,,,,,,
79,솔직히 무서웠다. 갑툭튀도 많은데 그어린아이가 겪는 그 상황이 무섭더라;; 초중에 수녀소개할때 수녀귀신도 있던거 같고 그리고 마지막에 이어지는거 보고 개소름돋음,,,,,,,,,,,
80,어린아이가 감당할 수 있는 공포를 넘어섯다,,,,,,,,,,,
81,영화를 만들다 맘 ? 시작을 했으면 끝을 내야하는데 마지막이 아주 허무함 똥싸고 뒤안닦은 기분임,,,,,,,,,,,
82,공 맞고 쳐다볼 때 리얼 소름;;;;,,,,,,,,,,,
83,기대이상 굿굿 처음부터 끝까지 계속무셔움계속 놀래키길래 음료수쏟을까봐 마시지두못하고..내에이드ㅜㅜ다버림 흥,,,,,,,,,,,
84,나 컨저링 하고 인시디어스 시리즈 다봣는데 라이트아웃도 다봄 근데 그땐 눈안가리고봣는데 이건 눈가리고봄 진짜 무서움... 왠만해선 내가 눈안가리고 보는데 이건...와...,,,,,,,,,,,
85,무서운장면 나올때마다  착해보이는 여자분이 옆에서 쌍욕을 하시네요.,,,,,,,,,,,
86,상영관 왜 이러냐 이런 취급 받을 영화는 아닌데,,,,,,,,,,,
87,팝콘 뒤로 날렸습니다 다들 각오하고 보세요,,,,,,,,,,,
88,실제애나벨인형이 나올줄은 몰랐다 진짜...,,,,,,,,,,,
89,평점도 괜찮고 무섭다길래 기대하고 봤는데 이건 무슨.... 진부하고 뻔한 귀신 뒤집어 쓴 인형이 애들 조지려 드는거 말곤 내용도 없고 시시한 삼류 공포영화ㅋ 진심 돈 아깝다,,,,,,,,,,,
90,ㅡㅡ이 알바몬들이...장난하나 1도안놀램....나만 그랬으면 모르겠는데전부다 어이가 없는지 멍청이 표정으로 돈아깝다고 나감,,,,,,,,,,,
91,영화는 돈 아깝지 않게 잘 봤습니다. 근데 내 뒷머리에 나초쏘스 묻힌놈 누구냐 잡히면 디진다,,,,,,,,,,,
92,저 총각귀신인데요 저도 보고 깜짝 놀랬어요,,,,,,,,,,,
93,팝콘이 날아다니기는 무슨...내 돈 날아다니는 것 밖에 안보인다..,,,,,,,,,,,
94,이 영화는 진짜다. 영화 후반으로 갈수록 쉴새없이 몰아치기 때문에 많이 긴장하고 봐야돼는 영화. 눈을 감아도 압도적인 음향효과덕분에 머리속에서 장면이 그려져 더 무서운 영화,,,,,,,,,,,
95,영화 보다가 집 가고 싶기는 처음,,,,,,,,,,,
