,content
113,임창정 주연 레전드 영화 투탑 색즉시공 시실리2km 평점 왜이래 다이하드 권오중 ㅋㅋ매번 반전이고 겉과 속이다른 인간 탐욕을 또 묘하게 풀이한 띵작인데
114,진짜 너무 웃곀ㅋㅋㅋㄱ
115,좋아요. 재밋읍니다.
116,영화 진짜 강추요코믹과 감동!!
117,솔까 10년도 넘었지만 이건 인생영화다 이거보다 웃긴영화가 없었다 ㅋㅋ
118,한국에서 또 이런류의 코미디 영화가 나올까
119,정말 잘 만들어진 영화 역대 최고의 코미디 영화
120,지금 와서 보면 한국 코미디 영화의 레전드 급임
121,지구를 지켜라 다음으로 재평가해야 할 작품귀신보다 사람의 이기심이 얼마나 무서운지 코믹스러우면서도 소름 끼치게 표현한 뛰어난 영화
122,한국 코미디 영화의 진수
123,이 감독님과 코드 잘 맞으면 처음부터 끝까지 웃으며 볼 수 있어요. 전 되게 좋았고요 계속 터지며 봤습니다. 우현 아저씨 강렬하구요.
124,우리나라에서 다신 안나올 펑키호러 장르 영화
125,8점 후반대는 나와야해.. 시대를앞선 수작영화
126,이게 코메디 영화 아니냐? 억지 웃음 없다. 캐릭터 와 그에 맞는 대사들에 개그 요소들이 들어가있지. 극한직업은 이 영화에 비하면 한참 유치하지
127,임창정이란 배우의 능력을 가장 잘 활용한 영화가 아닐까싶다 신정원은 은퇴전에 임창정이랑 한편 더 해라
128,신정원감독팬이다. 깨알웃음과디테일!누가뭐래도감독님존경해요ㅎ?ㅎ
129,기발한 언어유희
130,OO핵미친명작 지금 나와도 손색 없음.
131,역대급 한국코미디다 감독님 명복을 빕니다
132,발가벗고 동네 내려오는 씬 어렸을때 보고 눈물흘리면서 웃었던 추억이ㅎㅎ
133,진짜 천재는 앞서가는듯 시대를 너무 앞서갔다
