,content
87,소설은 예전에 봤었고 방금 영화보고 왔는데 영화 개에반데 ㅋㅋㅋ 원작을이렇게 망쳐버리네
88,절름발이 아줌마와 찐따의 런닝맨
89,덩치큰 성인 남자가 아무리 트라우마가 있다지만 본인은 물론 약혼녀한테까지 칼부림해대는 장애인 여성을 제압은 커녕 그럴 의지도 없이 도망만 다니며 빌미를 계속해서 제공... 유선은 쩔었으나 전체적으로 공포보다는 잔혹함...
90,남주 진짜짜증남ㅋㅋㅋ 정신못차림진짜
91,pc충 죽지 그냥 ㅠㅠㅠ
92,3마디로 압축이뭐병
93,장마철인가 비만 오지게 내리네
94,우리나라에도 이런영화가 있었네
95,한밤중에 봐서 잠을 잘수가없네심장쫄깃해지고 무서워서 베게 얼굴 박고 봄..소설 읽어보고 싶게 만드는 영화엿다
96,잔인하기만함;;;;
97,싸이코패스 캐릭터 표현 잘 한 수작임.
98,감독이 뭔가 큰걸 담으려다 실패한 듯한 영화 좀 더 짜임세 있게 만들지는 못 하는지 아무리 남주가 트라우마가  있어 저런 행동을 하지만 관객 입장에서 감정이입이 안됀다 그리고 싸이코패스가 무슨 특수요원도 아니고 다리...
99,Black House
100,2007.09.27 17:07 평점 5  글쎄
101,여유 있으신분들은 책으로도 꼭 읽어보세요!!영화도 괜찮지만 글밖에 없는데도 더 무섭고 스릴있어요.
102,영화는 책보다 더 재미있게 구현하지 못한다는 좋은 예  책으로 재밌게봐서 영화도있다길래 봤는데 우우.
103,뭐 이 정도? 라고 본다. gg
104,차라리 소설로 보고 끝낸게 나을듯 싶음...
105,보는 내내 쓸데없이 내가 다 아프다
106,스릴
107,황정민씨 캐릭터가 영......개찌질이 OO으로 나옴 답답함의 극치 ㅋㅋㅋㅋ
108,초반은 괜츈했는데.. 중반 넘으면서 깝깝한게 많이 부족하다
109,중간중간에 어색한 부분이 너무많았다
110,탈출게임도 검은집이 나온점
111,엄여인 사건이 떠오른다..후반에 좀 긴장감이 약했음. 그래도 세상엔 싸이코들이 많다
112,스토리 전개에는 최소한의 개연성이 있어야..보는내내 헛웃음이...
113,맨처음 아들의 시체를 발견했을때사운드와긴장감은굳 앞으로어떻게진행될지기대했지만...
114,그냥재미없음..
115,원작은 재밌었는데...영화보고실망..
116,여러분~ 원작 읽으세요~!!
117,잔잔한 싸이코패스물.
118,대체 어떤 측면이 괜찮은건지.. 원작의 3분의 1도 못따라가는 영화..
119,멘탈 과장
120,억지 설정과 진행...짜증만 나고 시간 아까운 영화
121,싸이코패스를 소재로 인간의 조건을 논하기엔 연출력이 좀(많이) 딸려 보인다
122,원작 진짜 재미있었는데... 이게뭐니..
123,원작을 단순 나열하기에도 벅찬 빈곤한 연출력
124,쓰레기 영화 재미도 없고 감동도 없는 ^^
125,흥미로운 스토리를 가지고 이렇게 망쳐놓는 것도 힘들텐데
126,동부화재 광고 영화임 ㅗㅗ
127,음... 뭔가 아쉬운 작품.
128,찌질한주인공
129,고통이 느껴진다. 섬뜩 그리고 답답
130,소재에 대한 몰이해와 오리지널리티에 대한 집착으로 원작을 훼손했다.
131,무기력하고 답답한 캐릭을 완벽하게 소화해낸 황정민만 기억에 남는다.
132,재미드럽게없네ㅡㅡ 재미도없고 스릴도없는데다 주인공은 짜증나곸ㅋㅋ
133,이영화 정말 재미있네요 ㅡㅡ 쵝오 작가 + 감독의 머리를 이해할수 없는 영화
134,나는 극장에서 무섭게 봤는데~
135,주인공이 정말정말 답답했다. 결말로 갈수록 점점 더....
136,원작을 보고나서야 무섭다.
