,content
129,이후의  수 많은 좀비 영화를 이끈 작품
130,재미있네요. 볼만했음
131,최고의 좀비 영화 ㅋㅋㅋ
132,여태껏 이렇게 만족했던 좀비영화는 없었다 이것은 말그대로 좀비영화의 정석 또는 표본이다!
133,Cj  그가 옳았다...
134,Cj말고는 다 주겨버리고시퍼서9점
135,2004년 이후로 이 영화를 뛰어넘을 좀비영화는 아직 나오지 않고있다
136,바이러스의 정체 따윈 안알랴주는....육상선수 좀비물의 원조.  좀비물을 하나의 장르로 만든 영화. 이걸 뛰어넘는 좀비물은 아직 보지 못했다...
137,이것이 바로 좀비영화입니다
138,좀비영화의  마스터 피스
139,재밌다. ㅋ  종말적 상황의 분위기를 잘 표현함
140,재난영화에는 항상 발암캐가 있다.
141,니콜 개발암이네 ㅂㅅ같은년
142,좀비물의 끝판왕이라생각함..
143,10번을 봐도 이만한 좀비영화물은 없는갓 같아
144,좀비영화 하면 새벽의 저주지 마지막에 씨제이 지렸다
145,앵간해선 10점 잘 안주는데 이건 준다...본지는 오래되었지만 여러번 볼정도로 잘만든 영화...좀비영화의 레전드라 불리는 영화들중 하나인만큼 전설로 기억된다.좀비 마니아들은 당연히 28일후 28주후와 함께 기억할수밖...
146,내가 느끼기에좀비영화의 조상격인 영화다
147,ocn 슈퍼액션 등 티비에서 틀어주면 4번5번 봐도 또 보고있음ㅋㅋ
148,CJ가  자기보다 더쎈발암캐 스티브보면서 자아성찰하고의리캐된듯 개좋음. 그리고10년더넘어서안봤는데 이후부터 최근에 나온 좀비물보다도 더 잘만든듯. 좀비가 너무 사기캐들로나오는데도(무는걸넘어 손발다쓰고 사물도 들어던지...
149,2004년 작품이 요즘것 보다 낫다
150,니콜년때문에 짜증났는데 아재 2명 멋있어서 10점
151,결말이 흠좀무지만 나쁘진 않다.
152,시나리오 연출 연기
153,좀비영화는 이 영화 따라올게 없는듯
154,정말 스릴있고 재밌어요~!
155,내가 본 최초의 좀비영화이고 정말 재밌었음~ 월드워z도 재밌지만 새벽의 저주 지금봐도 재밌을듯
156,좀비영화 향후 50년간 부동의 원탑
157,그렇게 배타고 나왔는데 결국엔 다 죽는다.
158,좀비영화마니아의 바이블이지지금도 좀비영화들 보면 여기서 아이디어 많이따옴.쇼핑몰에 갖힌설정 등
159,잭 스나이더 이때로 돌아와~~
160,이 영화가 좀비영화들의 대부격이다.
161,역대 최고의 좀비물 ㄷㄷ
162,재미있어요 진부한 좀비영화는 아님
163,좀비영화하면 딱 떠오르는 영화
164,영상이 멋진 좀비영화. 시간때우기에도 제격.
165,우리나랑 현실 ㅠㅠㅠㅠ
166,명장면: 개 구하려고 뛰어간 여자
167,부산행보고 실망하고 다시본 좀비영화의 최고봉
168,진심 이거로 좀비 입문하지 마라. 이건 최강이라 볼거 없을때 마지막으로 보면 그때 최상의 기분 나온다. 이게 왜 진리인지 알게 된다.
169,이 영화를 뛰어넘을 좀비영화는 나오지 않을듯
170,부산행보고 좀비물에 관심이 생겨 추천받아 본영화ㅎ 부산행보다 몇백배는 더 스릴있음 더운여름 선풍기틀고 누워서 관람하니 천국이네 조만간 28일후도 봐야지ㅎ
171,트럭타고 온 조연들의 멍청한 행동들이 억지로 스토리를 이어가는 느낌. 다른 사람들 말처럼 초반에 잘나가다가 트럭등장 이후로 내내 답답함을 느꼈다. 그리고 게이남이랑 금발녀는 도대체 왜 넣은거야..
172,좀비영화하면 떠오르는 영화중 하나
173,일단 지금까지 단연 최고의 좀비작품이고
174,cj 상남자 ㅠ 왜케 다 죽는겨ㅜ맘아프게
175,CJ 존멋 강아지여자 개발암
176,장르의 기준점. 좀비 영화는 새벽의 저주 이전과 이후로 나뉜다.
177,좀비영화매니아로써 이것이최고의좀비영화
178,좀비영화중 끝판왕 아닙니까 명작임 스릴은rce도 빼놓을수 없지
179,진짜 살아있다 보다가 이거보니까 클라스가 남다르다
180,최근에 이 영화를 보신 분들이 평점 준거보면 ‘뻔하다
181,이영화를 넘어서는 좀비물은 언제쯤 만들어 낼껀데?
182,내가 이영화때문에 눈높아져서 이후로 다른좀비물을 못본다..봐도 재미가없거든..
183,좀비영화중 압도적 원탑. 희망따윈 없는 결말은 최고의 선택
184,좀비게임 하고싶어지는 영화
185,제발 단독행동 하지말고 당황하지말고 빠르게 움직여라... 왜케 이성을 못찾어 하 답답이들
186,바이블입니다 바이블.
187,정석같은 좀비물이지만 지루하지 않다
188,나온지 별로 안된 영환줄 알았는데 2004년;;
189,관객수가 고작 10만명? 솔까 28일후하고 새벽의 저주 뛰어넘는 작품 아직까지도 없다.
190,좀비영화의 시작이자 끝
