,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,10년도에 극장에서 보고 오늘 다시 봤는데 스파이더맨2보다 곱절은 재밌음.외계침공 sf영화 중  손꼽히는 작품 중 하나 임.2편  4년  동안 기다리고  있음.Sf영화 좋아하시면 완추함.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,전재밌게봤는데  왜들평점이?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,개인적으로 처음엔 지루한감이 잇엇지만 갈수록 긴장감 과 감동이 몰려오는 영화다 후속편이 나오면 정말 재밋을거같은 영화 근데 ...평점이 왜이러지ㅠ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,개인적으로 재밌게 봣음~ 외계인이 왜 침략햇는지 끝까지 안 알려주는게 현실감 잇음! 지구침략하면 진짜로 이렇게 될 것 같음~ 후속편이 보고싶은데 안 나와서 아쉬움 ㅠㅠ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,나는 엄청 재밋게 봤구만뭘.. 근데 확실히 후속작나와야된다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,난 너무 재밌게 봤구 그리고 이게 인간이 외계인한테 약하단거를 너무 잘표현했다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,매 해년 2편이 언제 나오나 기다리고 있었는데  비록 결말이 너무 2편이 애타게 기다려지게 끝나버렸지만 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,좋은데요 재밌게봤음 근데평점약함,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,내용 필요없고 마지막  반전때문에 2편이 기다려 지긴 한당 아우,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,개봉때봣을땐 막장인거가타 별로엿는데 또보니뭔가잔잔한감동이..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,그동안의 외계침략 스토리를 이어가면서도 마지막 반전에선 획기적인 다음내용을 예상케함. 외계침략에 무력한 인간 그리고 CG를통한 현실성이 보다완벽함. 외계침략에 영웅화시킨 기존 영화인물들과는 다른라인으로 진행. 이런건...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,이 영화를 보고 난 후 가장 인상깊었던 건 스텔스 폭격기와 랩터 전투기였다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,와 겁나 잼나게 봤습니다. 정말 이런 일이 일어났을 때 바로 우리가 바라볼 수 밖에 없는 상황,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,평점이 너무 낮네 나름 잼있게 봤다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,왠만해서는 평점 안 쓰는데,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,재밌기만 하구만 왜자꾸 이유를 찾는 놈들이 많냐 너희는 밥을 이유 생각하고 먹냐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,평점이너무낮다..그렇게쓰레기는아니고나름대로재밋게봣고결말도충격이욧다 2탄기대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,마지막 10분을 위해 존재하는 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,볼만함 난 결말이재밌던데 후속편이 기대됨 피터지는장면이없는데도 인간의뇌만빼가는장면이 징그러우면서도 무서웠음 점수는7점정도 근데평이너무안좋으니까10점드릴게요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,후속작이 기대되는영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,그럭저럭 볼만한 영화에요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,평점주러 들어왔다. 좀 맞춰서 가야지.. 너무 낮은거 아닌가??,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,다른 외계인 침공보다 결말은 이게 현실성있네...ㅋㅋㅋ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,평점 낮아서 기대 안했는데 현실적이기도 하고 인상적인 장면도 많고 상당히 재미있게 봤음. 마지막 장면도 맘에 들 었음.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,스카이라인2탄은 언제나올까?몇년째 기다리고있네~~~남자주인공이 여자주인공을 구할애틋한장면에서 끝나 더더욱 기다려진다2014년엔 꼭나와라~~~!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,옛다! 8점   이 괴물은  8점은 된다. 한국영화 괴물은 현재 8.61  애국심?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,이게 왜 6.2 죠? 쓰레기같은 다른 우주영화보단 20배 나은데. 너무 저평가 되어 있네요.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Wow   이 엄청난 리얼리티는 모지;;  이 영화는  저예산 제작비에 엄청난  몰입도를 보여주는  sf재난영화라는 새 지평을 열은 그야말로 영화사에 남을 작품임! 옛날에 이블데드 봤을때 느꼈던 전율을 간만에 느껴보...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,재밌다. 외계인이랑 대화가 안통하은데 왜 침공하는지 어찌알수있을까.. 그냥 먹을게떨어져서 온거일수도 있는데. 재밌었다 2편이 기대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,TV로 봐서그런지 모르겠지만 저는 정말 재밌게봤습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,되게 재밌게본영화인데 평점 낮아서 놀랍네요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,스토리탄탄어설프지 않은 그래픽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,본지 좀 되지만 후속이 기대되네요나만 재밌게 봤나 하는분에 한표전문가 평점 이사람들은 영화를 보긴했는가?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,올ㅋ 100억 짜리 영화라 보기엔 cg 질이 좋은데 홍홍1점 주러 왔다가 제작비 보고 10점 주고 감,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,외계인이 오면 어떻게 될지 리얼하게 묘사~마지막은 충격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,첫사랑이랑 봣던영화 그래서 10점.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,왠지 2편이 대박칠것 같은 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,나쁘지 않아! 재밌게 봤음..다른 외계인 침공 영화랑은 뭔가 다름....2탄이 나와야 할것 같은 영화인데 제작 안하나???,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,외계인에 침략 당하는 도시를 개인의 시점에서 잘 보여준 영화라고 봄. 개인 입장에서는 외계인이 왜 침략 했는지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,그래도 굉장히 현실성 있는  ....,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,스케일도그렇고cg괜찮고몰입도좋고이정도면되지현실적인영화네괜찮구만이정도면되지입맛들이같을순없으니,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,외계인의 몸을 얻은 주인공이 다른 외계인을 쳐부수고 사랑하는 애인과 뱃속의 아이를 어떻게 지켜나갈지 후속작이 기대된다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,볼만함  재밌는데?..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,별점깎는 새끼들아 뭐 외계인 나오는 영화래서 월드인베이젼 처럼 외계인 쳐바르는거 원했냐아니면 배틀쉽처럼 외계인 농락까는거 원했나애초에 외계인이 우주선타고 지구올정도면 실제론 OO 빛의속도로날라다니면서 지구 폭격해서 ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,이거 2편 언제 나오는거야~ 뒷이야기 궁금함.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
