,content
131,2 언제 나와 도대체 레인메이커 주인공으로 해서 전개하면 재밌을것같은데 현기증난단 말이야
132,굿굿 보기전에 평점보고 기대안했는데 재밌다
133,재미있음.돌고도는 시간의 굴레:역시 다이하드빨은 살아있다
134,시간때우려고 티비에서 골라서 결제해서 봤는데 솔직히 만원주고 봐도 아깝지 않을 영화에요 군더더기없이 깔끔하고 너무 어렵지도 않고 여운도 조금 남는 그런 영화네요
135,타임 패러독스를 해결하는 영리한 방법.
136,타임 소재 + 액션. 최고의 몰입감.
137,조셉고든레빗 연기도 너무 좋았고 재밌다
138,음...그럭저럭 재미있게 봤네요
139,다시보고싶어서지금평점쓰고또본다진짜완전너무너무재밌는데
140,아이의 연기력이 대단
141,대박 잼 잼 잼 잼 !!! 결말 슬퍼요 ㅠ ㅠ
142,에밀리블런트 덕에 조셉고든레빗까지 보고 가네
143,재밌으재밌으재밌으재밌으
144,조셉고든레빗 겁나 멋있고..하...근데 할아버지ㄹㅇ사기캐 개멋있음ㅋㅋ
145,익숙한 소재의 창의적인 변신
146,재밌어요. 평점 좀 더 높아도 될거같은데
147,흥미로운 소재와 나름대로 탄탄한 구성이었지만 갈수록 지루해지는 전개가 아쉬웠다 후반부를 타이트하게 했더라면 하는 아쉬움이 남는다
148,미리등록한다. 2번 봐야한다길래....
149,영화관에서 재밌게 봤던 기억이 아직도 남아있네요. 안보신 분들 꼭 보시라고 리뷰 남깁니다!
150,솔직히 좋있다 연출 재밌음
151,진짜 괜찮은 영화.나비효과 감독판의 느낌도 나고약간 느와르 성향도 있음.추천함!
152,팔을쏘지....  그럼
153,인생영화급으로 명작인데 평점이 낮네요..
154,와  재밌게 봤다.. 개구리 울음소리 이야..
155,이야 별생각없이 봤는데 이정도라니 대박^^
156,멋짐.
157,뭐라고 쓰야할지 모르겠다!!!!
158,시간영화
159,나름 색다른 시간여행 영화~
160,외모가 좀 더 비슷한 두 배우를 섭외 했더라면 하는 엉뚱한 아쉬움이...
161,액션영화인데 기발난 상상력의 시나리오. 조금 지루한감이 있지만 나름 괜찮다.
162,극장에서 혼자 봤던 영화 벌써 4년여의 시간이 지났군
163,잘만듬 솔찍히. 솔찍히. 조토끼 연기도 굿
164,베스트오브베스트 ㅋㅋ
165,나도 8.5점은 돼야한다고 생각하기 때문에 10점 준다
166,난 이런 영화가 좋아...
167,나도 영화 많이 보는데 정말 독특해서 유독 기억에남는다. 단순히 소재가 독특한게 아니라 분위기에 묘하게 끌리고 시간여행만의 깨알같은 재미를 조금씩 흘려준다
168,이정도면 괜찮은 영화다. 평점 8은 나와야 한다.
169,앞으로 평론가들이 별점 남길떄 한 줄 논평 이외로 왜 이 영화가 졸작인지 설명하는 리뷰하나 남겨라 한 줄 논평이 워낙 난해하고 뭐 같은 이유라서 혹시 내가 이해 못한거라면 리뷰로 제대로 납득을 시켜라 .
170,너무 많은 양념을 버무렸지만 맛은 있었다
171,분명 이해안되는 설정도 있지만 그래도 7점대는 아니다.
172,어두운 배경의 미래가 조금 우울했지만 전체적으로 짜임새있게 잘 구성된 영화이다. SF 영화 좋아하는 사람이라면 강추
173,한국 영화 열한시 이영화 보고 배워라 타임머신 영화는 이런것이야 정말 재ㅣ밌다 헐리우드 영화 만쉐~~~
174,19금인게 아쉬운 영화.19금을 뺐다면 루퍼 열풍이 불었을텐데...
175,평점 왜이리 낮지
176,좋은소재긴한ㅁ데데뭔가아쉬운
177,와우.. 정말 탄탄하게 잘만든듯.. 몰입도잘되고 재미있네요.. 약간의 예상이 된다는게 좀 아쉽지만 어후 정말재미있음^^
178,오늘한다
179,재밌게는 봤는데 뭔가 좀 뻔하긴하네.. 점수는 8
180,평점이 낮네ㅡ꽤 재밌음
181,잼있는 소재. 좋은 배우들. 강추
182,뭐니?나는 니게잼나게봤는데와우..좋다 이런장르
183,여러소재를 잘 섞은 명작이네요. 이기적인 사람이 한 여자를 살리기위해 타임머신에 스스로 뛰어들면서 레인메이커가 탄생하고 평행우주가 만들어지고... 결국 늙은 조는 이기적인 건 변하지 않았는데 젊은 조가 달라지면서 미...
184,밥먹듯 살인하는 킬러의 언발란스한 양심? 사회에 엄청 위험한 아이와 미래의 나중에 누굴 저격할까? 답은 당연한거 아닌가?  그런데 왜? 이해가지 않는 부처급 선택은 엔딩후 혼란을 준다 꽤 잘 만들어진 스토리와 SF설...
185,소재만 신선 이런류의 영화는 개연성 설득력이 필요한데 상당히 부족.. 킬링용으로 보려해도 지루함이 묻어나서 보다 안보다 이틀에 걸쳐 억지로 끝까지봄ㅋ
186,진짜 너무재밌다...
187,윤회와 접목된
188,솔직히 말해서 타임슬립 영화 중 최고다
189,핵소름.... 결말 와... 총쏘는 액션 싫어하만 않으면 완전 추천합니다. 조셉고든레빗 분장만 안했으면 더좋았을텐데ㅋㅋ 브루스윌리스랑 닮게 할려고 분장한거 알겠는데 어차피 안닮아서ㅋ 분장땜에 약간 낯설었던거 빼고는 ...
