,content
89,아들 행동이  이해가 안가네요..  딸은 계속  소리지르고 짜증 유발 시키고...  어휴  보는 제가 너무 짜증이 나는 영화ㅋㅋㅋ
90,부와아아----앙~~~우----우 우웅~.. 소리가 너무 공포
91,어릴때 봤을땐 무슨 결말이 이따구냐 했는데 다시보니 그나마 사실적인 결말이네요. 하지만 마지막을 다큐같이 끝내서 맘에 안드는 사람이 있을수도
92,딸은 어려서 그렇다 치자아들 개패죽이고싶다 진짜 영웅심리 뭐고젤먼저 엄마집에 쳐갔누
93,상식적으로 저 상황에 저렇게 소리지른다고? ADHD가 아니고서야. 정신나간 딸.
94,다른건 좋은데 그놈의 몰입감 깨는 꽥꽥 소리만 안 질러댔으면  성공했을거 같음…
95,실감나는 영화. 집에서 티비로 봤음에도 몰입해서 볼 수 있었다.
96,세번째 봐도 안질리네~미군이 최고다란 결말이 아니어서 마음에 듦
97,상당히 무서운 외계인.
98,이 영화로 다코타 패닝이 싫어졌다. 발암딸
99,긴 시간 탐 쿠르즈만 보인다. (소리만 지르고 갑자기 발광하는 두 자녀의 발암에 귀가 썩고 어지러웠다.)
100,도대체가 재미도없고 감동도 없고 아들은 왜저러고 딸은 또 왜저러고 마지막은 또 뭐야....전결 하나도 없고 기 승에서 끝남
101,남매 둘다 아구창 존나 때리고 싶네
102,아이들 못 구해서 안타까운것만 봤지 내 또 아새끼들로부터 아빠를 구해주고 싶기는 첨이네.
103,항상 느끼지만 외국 영화 대부분은 애들부터 죽이면 평점 9점 받을텐데
104,톰크류즈 좋아해서 웬만하면 높게주고 싶은데 보는 내내 혈압만 오른다. 꼬맹이 두명이 진짜 계속 소리지르고 괴성지르는거밖에 기억에 안남는다. 숨이 턱 막히는 기분...
105,아들새끼 그냥 레이저광선포 쳐맞고 뒤졋으면 좋겟네. 저 거대 외계인하고 어떻게 싸워 말이되는 소리를 쳐해야지
106,오빠란 시낀  전쟁광  미친놈인가  군대만 보면  쳐 달려가  날 데려가라고  지 럴이냐.. 딸내미  말 안들어쳐먹는건  어려서  그렇다쳐도.. 아들넘까지  저  OO  쌍으로  OO하니  도저히  못봐주겠다.. 왓...
107,비혼
108,외계인보다 아들딸내미가 개발암ㅡㅡ
109,괴물보다 오빠새끼를 더 때리고 싶게 만드는 영화
110,아들무슨 암것도 없으면서 외계인이랑 싸운다 그러지..? 싸운다 해놓고 지 가족들한테 가있는디 결국 싸운게 아니라 튄거임?ㅋㅋ
111,재혼남과 애미 그가족들은 참 평온하게 집에서 힐링한듯ㅋㅋ 인류가다죽은것처럼그러더니 톰크루즈가 제일불상하네 까마귀같은애랑  ㅂㅅ같은아들 둘 기껏데리고다녓더니 하아....마지막에 지 애미한테 울면서뛰어가는걸보니  인간은...
112,딸아들이랑 쇼생크 개발암ㅋㅋ 그래도 처음 긴장감은 10년이 지나도 잊을수 없다
113,이건 가족영화다...아빠가 얼마나 인내심이 많고 아이들을 챙기는지..아빠의 위대함을 알려준 영화
114,평점 OOO낮네 평정을 올려라!!! 으아아아아악!!!
115,이거재밌는데 sf기대하고 본사람들 많아서 낮은듯
116,노답 딸래미 툭하면 나 여기있지롱 괴음 질러
117,10점 가려다 자식들이 망침.. 싸우러 가겠다는 넘이 제일 먼저 집에 도착..
118,톰짱 평점이결말이해못하는것들때매너무낮네
119,거품 인터스텔라보다 낫다.
120,아 보면서 아들 개빡쳤음. 지가 뭘 도와준다고 군대도 안 갔다온 놈이 뭘 한다고 돕겠다 이러고있음. 어떤 아저씨도 개빡침; 보면서 둘 다 진짜 아구창 갈기고싶었음 스트레스받음.
121,다좋았는데 자식들이 진짜 최악이다 레이첼 보는 내내 진짜 개빡쳤음 개발암캐임 아무리 딸을 지키는 컨셉이라도 그렇지 딸 너무 최악이라 하... 그것빼곤 다 신선하고 좋았다.
122,왜 미국 영화 아새기들은 발암이 많을까
123,딸년이 존나 꽥꽥 소리지르고 아들ㄴ새끼는 철없이 나가서 싸울거라고하는게 개답답해서 2점깎았다;
124,톰크루즈 애들빼면 진짜 잘만든영화..액션이랑 궁지에몰린 인간의 본능이랑 정신세계 너무잘표현함..재난영화중 최고라고본다..특히 사람들 톰크루즈네 차뺏는거 다시봐도 소름돋는다
125,(8점은 넘어야지) 비록 뭔가 박진감나는 제목과 달리 내용은 지구학살로 진행되지만
126,다시 봐도 재밌는 영화 아들딸은 노답
127,자식들 캐릭터 설정에 심각한 결함이 있음 아들 딸 둘 다 결말은 진부하기 짝이 없고 특히 듣도보도 못한 나래이션을 통해 사실은 이렇게 된 것입니다 짜잔하는 건 장난하나ㅋㅋㅋ스필버그라는 이름값이라도 없었으면 제작은 커...
128,왕잼꿀잼인 영화 추천함
129,몰입감 개쩜 스토리도 맘에 듦 대신 자식들 개발암
130,아..다코다패닝 꽥꽥 거리는 소리 듣기 짜증ㅜㅜㅜㅜ아들놈도 사춘기에 쩔어서 어휴..ㅜㅜㅜ 진짜... 톰크루즈 때문에 끝까봄
131,굳이 자식들 저렇게 답답한 설정 넣을 필요가 있나? 왜 보는 사람을 답답하게 만들지 진짜 애들 나오는 영화 웬만하면 거의다 믿고 거름...
132,이 영화를 본 후 딩크족으로 살기로 결심 했습니다
133,중간에 보다가 아들새끼때문에 빡쳐서 달려옴 언제 죽음?
134,8.5점 정도는 나와야줘야 하는 영화....
135,마지막허무한건아쉽지만 그 외 다만족
136,외계인을 어떻게 때려잡는가'를 보여주고 싶었던 것이 아니다.오히려 외계침공이라는 비이성적 상황에서 각자의 가치를 찾는 사람들의 모습이 돋보이는 SF 명작
137,여타 다른 영화와는 다르게 도망치는 주인공이 더 현실적이지 않은가 영화는 소설과 시대배경은 다르지만 스토리는 비슷하게 잘 구성되어있다.
138,아....존나 발암이네
139,발암물질 두마리.이게 자식인지 왠수인지 모르겠는 것둘 두마리만 아니여도 더 즐거운 감상이뵜을듯 사태파악 못하고 전쟁놀이하는줄 아는 주제모르고 나대는 사이코패스아들과 시종일관 소리만 질러대고 징징대기만하는 딸년까지.외...
140,애들만 없었으면 10점이었을 영화.
141,영화 내용이 허무하지만.멋졌다
142,총도 못쏘는 애가 무슨 군대에 들어가겠다고. 사람들 덤벼들때마다 쫄보그자체였으면 영웅심리는 어디서 나오는거야. 쳐죽으러가는거지. 살아돌아오지 않았어야 교훈적인건데 굉장히 마음에 안듦.
143,하루종일 꽥꽥대는 딸내미만 아니였음 만점~! 듣는데 꽥꽥소리 짜증나 죽는 줄
144,애새끼들 ㅈㄴ게 답답해서 보기 싫음ㅋㅋ
145,이영화는 저 오빠ㅅㄲ 억지스러운 설정 때문에 평 다 깎아먹었다
146,다코다 패닝 꽥꽥 거리는것만 빼면 좋음
147,오빠새끼 ㅅㅂ 개짜증 ㅅㅂ
148,결말 신선하고 맘에 드는데?
149,여자애 소리 너무지름 개시끄러워 죽겠음
150,다코타패닝 ..ㅈㄴ 꺅꺅대는것좀...제발
151,이런 영화를 만드는 지구인이 있다는 게 좋다. 그저 감사할 뿐. 싸구려 감성팔이 장사치만 가득한 한국영화. 그저 투쟁과 질질 짜는 감정과 감성만 있을뿐. 같은 한국인으로서 안타깝고 불쌍할뿐. 다행인 점은 한국영화 안...
