,content
94,참담했다 내가 나이기 이전 '인간' 이라는 이유로 타생명을 무시하던 내 오만함이 드러난 것 같아서
95,명작...그리고 장미꽃...
96,남아공의 인종차별
97,메세지를뚜렷하게 보여주면서도 오락성까지 놓치지 않았다. 이렇게 세련되게 비판할수 있는 감각이란건 천재적이라고 밖에는 설명되지 않는다.
98,비커스는 결국 프라운이 되고 말았네요... 마지막에 꽃 만들어서 아내 집 앞에 두는 장면에서 눈물샘이 터지고 말았습니다.
99,3년기다리라며....그쪽 행성에서 3년이 지구에서 30년이야...?
100,외계인 너무 착했어.... 하....
101,제 인생 최고의 영화 DVD도 샀습니다. SF에 관심도 없었는데.. 특히 샬토 코플리의 연기. 정말 대단합니다. 처음 연기한다는게 믿겨지지 않을정도로..
102,인간은 지구상이 아닌 우주에서 제일 잔인한 존재일 수도 있다..
103,외계인 영화가 아니다.. 우리 얘기다.. 내 얘기다.. 지금 우리가 살고 있는 외계인은 우리.. 나 니깐.. 생각하면서 보길 추천..
104,어디 하나 잘못된 곳이 없는 모든 게 완벽한 외계인 영화. 내가 이때까지 본 외계인 영화들을 뽑자면 디스트릭트9는 무조껀 탑 안에 들 정도로 볼만했음. 가장 현실성있게 만든 그런 영화인듯
105,완전 감동! 나는 다운로드 해놓고 왜 이제서야 보면서 감동의 눈물을 흘리나.
106,진정한 블랙 코미디
107,영화에서 3년 후에 온다 한 말을 현실에서 12년 기다리는중ㅋㅋ
108,인류에 기생하며 잡아먹는 100마리의 에일리언 보다 1명의 인간이 잔인하다는 사실을 보여주는 작품...영화관에서 재방한다면 다시 보러갈 것 같다
109,3년 
110,진짜 대박 지금까지본 영화중에  탑10안에 꼽힘
111,평점이 더 높아야 하거늘
112,스토리
113,다크나이트 이후로 극장에서 다리에 힘이 풀려 일어나지 못하게 한 작품. 생각치도 못한 천재적 발상
114,크리스토퍼 떠난지 12년째입니다. 언제 돌아옵니까?비커스는 고쳐주셔야죠!! 비커스가 믿지말아야했어 ㅠㅠ
115,방금 ebs에서 봤는데 너무 여운이 남는다..후속작 보고싶어요
116,마지막 쿠버스 사지가 찢어지는데 그렇게 통쾌할수가!
117,진짜 인간이 얼마나 무서운 존재인지 다시 느끼게 해주는 영화입니다
118,와씨 이런영화를 지금까지 안봤다니...  여타 다른 외계인SF와는 아예다른 신선한 내용이라 시간가는지 모르고 봤네;;ㄷㄷ
119,많은 생각을 갖게 해주는 영화. 진짜 명작입니다
120,마지막장면이 너무 찡했다..ㅠㅠ
121,프로운 고향 행성 가다가 우주선 부셔졌냐 ㅠㅠ 후속작 왜 안 나와 ㅠㅠ
122,처음에는 엄청 별로일거란 예상과 다르게 후반부로 갈수록 재미있고나도 모르게 외계인 편에 서서 보게 되는 영화!!이런 영화를 왜 이제 봤나 싶다
123,이보다 설레는 외계인 영화는 못봤다
124,감독이 천재다 이말밖엔..
125,영화 초중반엔 외계인들이 역겨운데
126,주인공도 처음에는 외계인을 무시했었죠... 본인이 외계인과 같은 입장이 되어 보니까 자기의 잘못을 깨달았습니다. 우리는 그 누구에게도 정죄하거나 무시하고 비난할 자격이 없다는 것을 상기시켜 줬네요. 추천합니다.
127,외계인물도아니고
128,정말 재미있다...  가슴 찡한  마지막 장면...
129,나는 책과 똑같게 영화를 볼때 가취관
130,주인공이 답답터지긴하지만.. 영화 자체는 상당히 잘 만들었다고 생각함
131,3년뒤에 오신다면셔요... 왜안오셔요ㅜㅜㅜ
132,3년이 3번이나 지났는데 크리스토퍼는 언제 오나요 ....
133,영화를보고 안건데 좆간이 미안하다
134,아직도 깜깜 무소식이네 2탄 만들던가 드라마를 찍든가 하지 이렇게 계속 썩힐건가 증말
135,10년째 후속작 기다리는중..
136,몇 년 전에 영화 채널에서 봤었는데 장미 접는 장면에서 꺽꺽 대면서 오열함 ㅠㅠ 남주가 너무 불쌍하고 짠 했음
137,ㅠㅠㅠㅠ후속작 안나오나
138,외계인은 동물
139,3년뒤에 온다고 했잖아... ㅠ
140,주인공 연기 진짜 잘한다
141,우와....정말 최곱니다. 외계인 나오는 영화 중 정말 최고....강추합니다. 빨리 후속편 보고 싶어요....^^
142,역대최고의 외계인영화다.연출 스토리 모하나 부족함이없다.최고의영화
143,인간은 그냥 죽는게 나을 듯 싶다...
144,하이씨ㅠ 감동적인건줄 몰랐음 ㅠㅠㅠ
145,맘 아파서 보기 힘들다ㅠ 외계인들 너무 불쌍함...
