,content,,,,,,,,,,,,,,,,,,,,
95,3000만큼 사랑합니다. 처음부터 끝까지.,,,,,,,,,,,,,,,,,,,,
96,다시보는 전설의 시작....,,,,,,,,,,,,,,,,,,,,
97,마블 시네마틱스가 지금에 있게한 수작,,,,,,,,,,,,,,,,,,,,
98,평범 왜이러지? 진짜 수작인데... 마블이 디씨보다 연출면에 있어서 압승인 것을 증명하는 작품이 아이언맨 시리즈. 히어로 영화계 판도를 바꿔놓은 아주 중요한 작품인데 8점대에 그쳐서 마음이 아프다..,,,,,,,,,,,,,,,,,,,,
99,마블표 히어로무비의 알파이자 오메가,,,,,,,,,,,,,,,,,,,,
100,내가 엔드게임을 본 이유,,,,,,,,,,,,,,,,,,,,
101,엔드게임 보고 다시 안볼 수 없다,,,,,,,,,,,,,,,,,,,,
102,앤드게임을 보고 다시 정주행 하러 왔습니다..,,,,,,,,,,,,,,,,,,,,
103,사...사랑했었습니다,,,,,,,,,,,,,,,,,,,,
104,나는 이걸 11년이 지난 후에야 봤다. 개꿀잼.,,,,,,,,,,,,,,,,,,,,
105,잉센이 없엇다면 지금의 아이언맨도 없엇다..,,,,,,,,,,,,,,,,,,,,
106,로다주는 슈퍼맨의 크리스토퍼 리브와 더불어 히어로계의 레전드 투탑인 인물이다.,,,,,,,,,,,,,,,,,,,,
107,난 토니가 단 한번이라도 편하게 쉬기를 바랬다..,,,,,,,,,,,,,,,,,,,,
108,마블 시네마틱 세계의 전설의 시작점.,,,,,,,,,,,,,,,,,,,,
109,보고싶어요. 아이언맨10.20.30대의 내영웅...당신이 핑거스냅을 할때 담담했지만아직까지 당신의 죽음은 담담하지 못하네요...,,,,,,,,,,,,,,,,,,,,
110,진짜 마지막이라는게 믿겨지지않는다너무 완벽한 엔딩이였어 ㅜ,,,,,,,,,,,,,,,,,,,,
111,잘 가 아이언맨 나의 영원한 최고의 영웅,,,,,,,,,,,,,,,,,,,,
112,마블은 이 영화에 감사해야한다,,,,,,,,,,,,,,,,,,,,
113,11년이 지나서 다시 평점을 올리네요.. ㅜ,,,,,,,,,,,,,,,,,,,,
114,마블 인피니티 사가는 아이언맨으로 시작해서 아이언맨으로 끝났다 그동안 수고했어요,,,,,,,,,,,,,,,,,,,,
115,I'm Iron Man.,,,,,,,,,,,,,,,,,,,,
116,당신의 인생을 낭비하지 마세요.' 토니,,,,,,,,,,,,,,,,,,,,
117,평점조절 하러 왓습니다,,,,,,,,,,,,,,,,,,,,
118,재개봉 해주세요 . . ㅠ,,,,,,,,,,,,,,,,,,,,
119,마블영화 전부를 통틀어서 아이언맨1이 가장 재밌다... 이게 2008년 작품이라는게 믿기지 않을 정도로...,,,,,,,,,,,,,,,,,,,,
120,아이언맨으로 시작해서 아이언맨으로 끝나는 ㅠㅠ,,,,,,,,,,,,,,,,,,,,
121,마지막대사가 마지막이될줄은 아무도몰랐을거야,,,,,,,,,,,,,,,,,,,,
122,전설의 시작과 전설의 끝,,,,,,,,,,,,,,,,,,,,
123,I am iron man,,,,,,,,,,,,,,,,,,,,
124,We luv u 3000,,,,,,,,,,,,,,,,,,,,
125,리부트 자체가 불가능한 아이언맨,,,,,,,,,,,,,,,,,,,,
126,지금재개봉하면천만넘지않을까?,,,,,,,,,,,,,,,,,,,,
127,정주행 하는 중인데 토니 스타크 새삼 젊다 지금에 와서 다시보니 왜 이렇게 뭉클한지 모르겠네 아이언맨 덕분이지 모든 건,,,,,,,,,,,,,,,,,,,,
128,정말 잘 구축된 캐릭터...순전히 로다주의 힘,,,,,,,,,,,,,,,,,,,,
129,아임 아이언맨!  이한마디가 전설의 시작과 끝 ㅠㅠ 슬퍼 로다쥬 3000만큼 사랑해,,,,,,,,,,,,,,,,,,,,
130,말이 필요없는 영화 몇번을 봤다,,,,,,,,,,,,,,,,,,,,
131,아엠 아이언맨.. 크으..!!,,,,,,,,,,,,,,,,,,,,
132,아이언맨은 나의 영웅이다,,,,,,,,,,,,,,,,,,,,
133,이때는 아무도 몰랐지. 마블이 지금처럼 거대해질 줄은.,,,,,,,,,,,,,,,,,,,,
134,아직도 아이언맨 2.3은 1을 못넘는것 같다. 내가 마블 히어로에 빠진 전형적인 한국팬이 된 작품,,,,,,,,,,,,,,,,,,,,
