,content,,,,,,,,,,,,
63,보다잠꿀잠이거는 수면제야 ㅋ댓글알바 지리게 많네 ㅋ,,,,,,,,,,,,
64,우리나라의 한계를 느낄 수 있어서 좋았다,,,,,,,,,,,,
65,에혀 이것도 영화라고 ㅉㅉㅉ,,,,,,,,,,,,
66,그래픽은 좋았다만 졸작은 졸작임...,,,,,,,,,,,,
67,심형래의 D-War생각남. 볼거리많지만 스토리 구림. 신파에 국뽕. 배우들 연기 아깝. 조성희감독작품이라기엔 중국자본탓에 감독의 역량발휘 어렵게 외부간섭 등이 많았던것이 아닐까 생각들 정도임. 외국배우들 발연기에 주...,,,,,,,,,,,,
68,시간 낭비하지 마시고...,,,,,,,,,,,,
69,캐스팅만 화려한 삼류영화.... 진짜 돈아깝다. 완전 신파극임. 연출도 촌스러움...,,,,,,,,,,,,
70,연출이 왜이래;;감독 역량이 너무 부족하다. 훨씬 좋은작품 나올 수 있었는데 너무 아쉽다.,,,,,,,,,,,,
71,그래픽은 좋더라. 스토리는 중딩이 짰나 짱깨수준임. 끝까지 보기 힘들 정도,,,,,,,,,,,,
72,한국의 기술력은 이제 세계 최정상이구나! 캐릭터와 스토리는 무난,,,,,,,,,,,,
73,스페이스 오페라 장르의 무덤인 한국에서 새로운 시도로 볼 수는 있지만 그걸 빼면 그냥 빈 수레가 요란한 다른 100억~200억짜리 한국 양산형 대작과 다를 게 없다.개연성이 없어서 오글거리는 스토리에 신파,,,,,,,,,,,,
74,뻔한 스토리 뻔한 억지감동좋은 CG 다 망친 표본영화를 잘 안보는 분들은 재밌을 수 있으나조금만 본사람은 실망할듯.,,,,,,,,,,,,
75,그냥 신파극 그 자체... 너무 뻔해서 모든 이야기가 예상됨... 그나마 cg에 대해 기대를 안해서 그런지 나름 괜찮... 그외 모든건 별로임,,,,,,,,,,,,
76,클리셰 범벅. 비벼도 이렇게 비벼놓을 수가 없음. 참을수 없는 유치함.. 말아먹은 개연성.. 연기자들의 부자연스러운 연기는 왜 그런걸까...? 싱크가 부자연스러워서 그런걸까?,,,,,,,,,,,,
77,그냥 지루함...  그리고!!! 국내 최초의 우주SF물은 김청기 감독의 우뢰매임.,,,,,,,,,,,,
78,기대 안하고 봤는데~긴장감과 CG가 좋았음~시간 가는 줄 모르고  봄특히 김태리의 멋진연기~짱~^^,,,,,,,,,,,,
