,content
91,공포임 거의. 진짜 너무 무서워서 초반엔 영화보다 뛰쳐나가고싶다가 나중엔 옷으로 얼굴 가리고ㅜ조금조금씩 봤은데. 세포하나에 근육이며 뇌며 눈이며 다 있다더니 나중에 얼굴에 눈은 왜생긴거? 몸이커지면 커질수록 뇌의 작...
92,첨에는 지루하긴하지만 중간뷰터는 긴장감대박 마지막엔 대박반전까지
93,결말..대박..ㅋㅋㅋ충격적임..
94,등장인물들이 암을 유발하는거만 빼고 최고였다
95,재미는 확실히 있는데 공포영화 아냐..?
96,외계생명체를 연구할 목적인데 완전격리가 안된다는 말도 안되는 설정으로 시작. 제대로 된 설정이면 애초에 켈빈은 차디찬 연구실에서 고독사 했을 영화. 핵심적인 설정이 똥이라 계속 어설픈 죽음만 이어짐. 결론 너무 뻔함...
97,이거 장르 잘못나와있음...SF아니야~~~ 공포/스릴러 이거야~~~~
98,괴물영화임!아무것도 모르고 봤다가 똥쌀뻔!ㅋㅋ징그러움!캐빈은 바람둥이!다키스함ㅋ
99,개봉전인데 평이 안좋길래  취소 할까했는데 생각보다 볼만하고 외계생명체 안나올지 알았는데 계속나오구요 그래픽도 후지진 않아요 마무리가 이편나올듯 ㅎ 2편은 세계관이 넓어 질듯
100,왜 제 멋대로 마션
101,우리 캘빈이가 근성이 있네. 화이팅이 좋아.
102,잘 만들었다.새로운 크리쳐물의 탄생
103,고구마는 한 가득 먹이면서 사이다는 안 준다.
104,에일리언같은 잔인하고 징그러운거 잘 못보는데 이건 그나마 괴물이 문어같이 좀 귀엽게생겨서 그나마 눈좀가리고봄 발동동구르는 긴장감 주는 영화. 그런데 전개가 단순하긴하다
105,잘만든 우주 스릴러! 재밌고 징그럽게 잘 봤어요.
106,아빠는딸 이딴영화보단 훨씬 잘만들영화인데 상영관이 딸려;; 마지막에 연출상 중국으로 떨어진 이유는 중국이라 초기대응 늦을테고 그 인구에 퍼지면 더 절망적인상황이 벌어질테니 중국으로 설정한거지 ㅋ
107,첫 씬부터 마지막까지 우주 공간에서 계속 소리가 나네. 공기가 없는데 어떻게 소리가 전달되는건지... 글고 마지막에 어부들이 구명정 문을 손으로 여네. 그거 엄청 뜨거울텐데...
108,결말이 미국영화같지 않아서 좋았음
109,서양은 오징어 문어 같은 연체동물에 대한 공포가 진짜 있는듯 캐릭터가 다 비슷함
