,content,,,,,,,,,,,,,,,,,
96,솔지키 예고편보고 진짜 보까마까 고민엄청하다가 영화보려하던시간에 딱맞는시간이 이거밖에없어서 걍보다했는데 왠걸....너무재밌음 다른사람눈은잘모르겠지만 친구랑난진찌재밌게봄 뭔가 새로운소재였는데 어색하지않고 마치 현실같이...,,,,,,,,,,,,,,,,,
97,러닝타임이 꽤 긴편이긴한데...지루하거나 하진 않습니다. 원작소설이나 줄거리 예고편을 보지않아도 내용이해에 전혀 무리가 없습니다. 킬링타임용으로 괜찮은 영화네요.,,,,,,,,,,,,,,,,,
98,두 번 봐도 재밌어요  포 멋있어ㅋ,,,,,,,,,,,,,,,,,
99,기대하고 봤는데 재밌네요,,,,,,,,,,,,,,,,,
100,간만에 재밌게 본 영화!!,,,,,,,,,,,,,,,,,
101,재밌다 엄청. 추천추천,,,,,,,,,,,,,,,,,
102,기대안햇는데 개재미지네용!!!,,,,,,,,,,,,,,,,,
103,기대이상이였어요 너무너무재밌어요 진짜!!!!너무 재밌어요 ㅠㅠ영화속에 사랑이란건 너무 뻔하지만 이영화는 뻔하지두 않고 색다르고 너무재밌게 봤어요시간이 길었는데도 긴지 모를정도로요!!!,,,,,,,,,,,,,,,,,
104,약간 트와이라잇같은 필을 받았는데 진짜 재밌었다.그리고 테오제임스완전 잘생겼다능♥♥,,,,,,,,,,,,,,,,,
105,판타지영화라서 눈이 즐겁기도 했는데 테오 제임스덕분에 시간가는 줄 몰랐;;다는 ^^,,,,,,,,,,,,,,,,,
106,ㅋㅋ와..몰입력쩐다ㅋㅋ 헝거보다 재밌다,,,,,,,,,,,,,,,,,
107,이런영화좋아해요.재미있게봤습니다.,,,,,,,,,,,,,,,,,
108,약간 지루한것도 있지만 영화가 알려주는 배울점들이 많아서 괜찮었어요.,,,,,,,,,,,,,,,,,
109,느낌도있고긴장감넘쳐좋았습니다,,,,,,,,,,,,,,,,,
110,미래에 대해 한번더 생각해볼수있었고 이타적 배타적 이념과신념 핏줄보다 문파가 중요할수도 있구나라고 생각해보는 하루~,,,,,,,,,,,,,,,,,
111,농담드립 안치고 진지한 연출에 한 표!모던한 느낌의 영상과 음향 연출에 한 표! 남녀 주인공의 깔끔/순수한 로맨스에도 한 표!   쓸데없이 잔인하지 않은 적당한 액션에 한 표!  근데 포스터가 넘 약하다.. 포스터만...,,,,,,,,,,,,,,,,,
